Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R15079
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Single
Room/Cage:,Ab140c19
Behavior Date:,2021-5-13
Behavior Time:,10:38 AM
Ethogram:,2021 bass.csv
Coding Began:,05/13/2021 10:39:18 AM
Coding Ended:,05/13/2021 10:44:20 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Tactile/explore,10:39:18,00:00:13.7113184,00:00:13.7113184
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Locomotion,10:39:32,00:00:02.8038141,00:00:16.5151325
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Groom,10:39:35,00:00:02.6184467,00:00:19.1335792
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Inactive,10:39:37,00:00:53.4114465,00:01:12.5450257
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Groom,10:40:31,00:00:03.6624295,00:01:16.2074552
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Locomotion,10:40:34,00:00:03.2550187,00:01:19.4624739
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Inactive,10:40:38,00:00:14.7425727,00:01:34.2050466
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Scratch,10:40:52,00:00:07.1871090,00:01:41.3921556
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Mantleshake,10:41:00,00:00:02.9523740,00:01:44.3445296
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Groom,10:41:03,00:00:13.8089151,00:01:58.1534447
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Tactile/explore,10:41:16,00:00:21.7147752,00:02:19.8682199
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Scratch,10:41:38,00:00:02.3870007,00:02:22.2552206
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Inactive,10:41:41,00:00:18.9885664,00:02:41.2437870
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Locomotion,10:42:00,00:00:02.8363399,00:02:44.0801269
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Tactile/explore,10:42:02,00:00:33.2789916,00:03:17.3591185
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Locomotion,10:42:36,00:00:06.5953526,00:03:23.9544711
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Tactile/explore,10:42:42,00:00:08.6876008,00:03:32.6420719
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Inactive,10:42:51,00:00:02.6636690,00:03:35.3057409
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Tactile/explore,10:42:54,00:00:13.0406803,00:03:48.3464212
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Inactive,10:43:07,00:00:07.0812854,00:03:55.4277066
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Tactile/explore,10:43:14,00:00:16.3135505,00:04:11.7412571
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Inactive,10:43:30,00:00:27.0004729,00:04:38.7417300
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Tactile/explore,10:43:57,00:00:14.9386883,00:04:53.6804183
BNP,R15079,Single,Ab140c19,2021-5-13,1.0.46.0,Groom,10:44:12,00:00:06.6756288,00:05:00.3560471

BehavCode, Occurrences, totalTime
Inactive,6,00:02:03.8880129
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,4,00:00:15.4905253
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,7,00:02:01.6856051
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:09.5741097
Groom,4,00:00:26.7654201
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,1,00:00:02.9523740
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
