Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R16022
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Single
Room/Cage:,Ab140c8
Behavior Date:,2021-5-12
Behavior Time:,11:17 AM
Ethogram:,2021 bass.csv
Coding Began:,05/12/2021 11:17:42 AM
Coding Ended:,05/12/2021 11:22:44 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Inactive,11:17:42,00:00:01.0857583,00:00:01.0857583
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:17:43,00:00:04.5163543,00:00:05.6021126
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Present,11:17:48,00:00:02.4744095,00:00:08.0765221
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:17:50,00:00:07.9946630,00:00:16.0711851
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Pacing,11:17:58,00:00:07.9709765,00:00:24.0421616
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Inactive,11:18:06,00:00:03.7744585,00:00:27.8166201
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:18:10,00:00:01.4845567,00:00:29.3011768
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Inactive,11:18:12,00:00:32.5101682,00:01:01.8113450
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:18:44,00:00:06.7309400,00:01:08.5422850
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Pacing,11:18:51,00:00:23.2094315,00:01:31.7517165
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Threat/display,11:19:14,00:00:02.2943123,00:01:34.0460288
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:19:16,00:00:03.3108667,00:01:37.3568955
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Pacing,11:19:20,00:00:32.2902880,00:02:09.6471835
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Threat/display,11:19:52,00:00:03.4389489,00:02:13.0861324
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:19:55,00:00:03.3608309,00:02:16.4469633
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Pacing,11:19:59,00:00:16.5736460,00:02:33.0206093
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Inactive,11:20:15,00:00:03.3988090,00:02:36.4194183
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:20:19,00:00:04.1024387,00:02:40.5218570
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Inactive,11:20:23,00:00:15.7461874,00:02:56.2680444
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Scratch,11:20:39,00:00:05.9990556,00:03:02.2671000
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:20:45,00:00:03.7669561,00:03:06.0340561
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Inactive,11:20:48,00:00:03.0298576,00:03:09.0639137
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:20:51,00:00:06.6280975,00:03:15.6920112
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Pacing,11:20:58,00:00:12.4296352,00:03:28.1216464
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Inactive,11:21:10,00:00:03.9091051,00:03:32.0307515
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:21:14,00:00:02.6772296,00:03:34.7079811
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Inactive,11:21:17,00:00:04.7059586,00:03:39.4139397
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:21:22,00:00:01.5531099,00:03:40.9670496
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Inactive,11:21:23,00:00:04.8632378,00:03:45.8302874
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:21:28,00:00:05.3565215,00:03:51.1868089
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Pacing,11:21:34,00:00:07.3923754,00:03:58.5791843
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Rock,11:21:41,00:00:03.4589423,00:04:02.0381266
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:21:44,00:00:04.6606915,00:04:06.6988181
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Pacing,11:21:49,00:00:19.8225411,00:04:26.5213592
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Threat/display,11:22:09,00:00:04.1005670,00:04:30.6219262
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:22:13,00:00:05.5828985,00:04:36.2048247
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Inactive,11:22:19,00:00:02.5899032,00:04:38.7947279
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:22:21,00:00:02.2763477,00:04:41.0710756
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Inactive,11:22:23,00:00:03.4088622,00:04:44.4799378
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Threat/display,11:22:27,00:00:05.0082357,00:04:49.4881735
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:22:32,00:00:03.4807642,00:04:52.9689377
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Threat/display,11:22:35,00:00:01.6373521,00:04:54.6062898
BNP,R16022,Single,Ab140c8,2021-5-12,1.0.46.0,Locomotion,11:22:37,00:00:06.3753658,00:05:00.9816556

BehavCode, Occurrences, totalTime
Inactive,11,00:01:19.0223059
Threat/display,5,00:00:16.4794160
Sex/self/other,0,00:00:00
Locomotion,17,00:01:13.8586326
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,7,00:01:59.6888937
Present,1,00:00:02.4744095
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:05.9990556
Groom,0,00:00:00
Rock,1,00:00:03.4589423
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
