Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R16083
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab119c38
Behavior Date:,2021-6-14
Behavior Time:,12:00 PM
Ethogram:,2021 bass.csv
Coding Began:,06/14/2021 12:02:17 PM
Coding Ended:,06/14/2021 12:07:18 PM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Locomotion,12:02:17,00:00:04.7004317,00:00:04.7004317
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Pacing,12:02:22,00:01:36.5198972,00:01:41.2203289
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Threat/display,12:03:58,00:00:02.4653134,00:01:43.6856423
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Pacing,12:04:01,00:00:22.3269213,00:02:06.0125636
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Inactive,12:04:23,00:00:23.3906956,00:02:29.4032592
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Locomotion,12:04:47,00:00:05.3588761,00:02:34.7621353
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Pacing,12:04:52,00:00:54.4286424,00:03:29.1907777
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Inactive,12:05:46,00:00:04.0759163,00:03:33.2666940
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Threat/display,12:05:50,00:00:02.1140842,00:03:35.3807782
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Inactive,12:05:53,00:00:19.8355228,00:03:55.2163010
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Locomotion,12:06:12,00:00:02.3680489,00:03:57.5843499
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Inactive,12:06:15,00:00:16.3758153,00:04:13.9601652
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Social/play,12:06:31,00:00:06.9218977,00:04:20.8820629
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Inactive,12:06:38,00:00:03.5348650,00:04:24.4169279
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Scratch,12:06:42,00:00:05.2645137,00:04:29.6814416
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Locomotion,12:06:47,00:00:02.1046610,00:04:31.7861026
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Inactive,12:06:49,00:00:08.8117347,00:04:40.5978373
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,SocGroom,12:06:58,00:00:09.6020337,00:04:50.1998710
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Locomotion,12:07:07,00:00:01.0099935,00:04:51.2098645
BNP,R16083,Pair,Ab119c38,2021-6-14,1.0.46.0,Inactive,12:07:08,00:00:09.0284133,00:05:00.2382778

BehavCode, Occurrences, totalTime
Inactive,7,00:01:25.0529630
Threat/display,2,00:00:04.5793976
Sex/self/other,0,00:00:00
Locomotion,5,00:00:15.5420112
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,3,00:02:53.2754609
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:05.2645137
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:00:09.6020337
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:00:06.9218977
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
