Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R19074
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab165c23
Behavior Date:,2021-5-18
Behavior Time:,12:39 PM
Ethogram:,2021 bass.csv
Coding Began:,05/18/2021 12:40:32 PM
Coding Ended:,05/18/2021 12:45:39 PM
Session duration:,00:05:07
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R19074,Pair,Ab165c23,2021-5-18,1.0.46.0,SocGroom,12:40:32,00:02:18.8214231,00:02:18.8214231
BNP,R19074,Pair,Ab165c23,2021-5-18,1.0.46.0,Scratch,12:42:50,00:00:03.8927214,00:02:22.7141445
BNP,R19074,Pair,Ab165c23,2021-5-18,1.0.46.0,Social/play,12:42:54,00:00:08.8115121,00:02:31.5256566
BNP,R19074,Pair,Ab165c23,2021-5-18,1.0.46.0,SocGroom,12:43:03,00:01:02.5226051,00:03:34.0482617
BNP,R19074,Pair,Ab165c23,2021-5-18,1.0.46.0,Social/play,12:44:06,00:00:04.9134374,00:03:38.9616991
BNP,R19074,Pair,Ab165c23,2021-5-18,1.0.46.0,Locomotion,12:44:10,00:00:06.1133318,00:03:45.0750309
BNP,R19074,Pair,Ab165c23,2021-5-18,1.0.46.0,SocGroom,12:44:17,00:00:33.4483486,00:04:18.5233795
BNP,R19074,Pair,Ab165c23,2021-5-18,1.0.46.0,Scratch,12:44:50,00:00:02.2433788,00:04:20.7667583
BNP,R19074,Pair,Ab165c23,2021-5-18,1.0.46.0,SocGroom,12:44:52,00:00:33.0955052,00:04:53.8622635
BNP,R19074,Pair,Ab165c23,2021-5-18,1.0.46.0,Tactile/explore,12:45:25,00:00:12.3339764,00:05:06.1962399

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:06.1133318
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,1,00:00:12.3339764
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:06.1361002
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,4,00:04:27.8878820
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,2,00:00:13.7249495
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
