Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R20015
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab113c17
Behavior Date:,2021-5-11
Behavior Time:,10:05 AM
Ethogram:,2021 bass.csv
Coding Began:,05/11/2021 10:06:17 AM
Coding Ended:,05/11/2021 10:11:18 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,10:06:17,00:00:08.5973758,00:00:08.5973758
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,10:06:25,00:00:02.6080414,00:00:11.2054172
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,10:06:28,00:00:41.7948844,00:00:53.0003016
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,10:07:10,00:00:03.9564466,00:00:56.9567482
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,10:07:14,00:00:05.6364021,00:01:02.5931503
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,10:07:19,00:00:02.0496363,00:01:04.6427866
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,10:07:21,00:00:11.2925395,00:01:15.9353261
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Headtoss,10:07:33,00:00:00.5000451,00:01:16.4353712
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,10:07:33,00:00:39.5640244,00:01:55.9993956
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,10:08:13,00:00:03.0947840,00:01:59.0941796
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,10:08:16,00:00:15.5836680,00:02:14.6778476
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,10:08:31,00:00:02.7008044,00:02:17.3786520
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,10:08:34,00:00:10.4041211,00:02:27.7827731
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,10:08:45,00:00:08.7605602,00:02:36.5433333
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,10:08:53,00:00:37.5090502,00:03:14.0523835
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,10:09:31,00:00:03.9772829,00:03:18.0296664
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,10:09:35,00:00:07.9134928,00:03:25.9431592
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Tactile/explore,10:09:43,00:00:19.6922231,00:03:45.6353823
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,10:10:02,00:00:38.6837535,00:04:24.3191358
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,10:10:41,00:00:06.7486139,00:04:31.0677497
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Headtoss,10:10:48,00:00:00.7500524,00:04:31.8178021
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,10:10:49,00:00:06.3771778,00:04:38.1949799
BNP,R20015,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,10:10:55,00:00:21.9092096,00:05:00.1041895

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,10,00:01:19.8373719
Aggression,0,00:00:00
Eat/drink,10,00:03:19.3244970
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,1,00:00:19.6922231
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,2,00:00:01.2500975
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
