Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R20035
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab112c11
Behavior Date:,2021-6-16
Behavior Time:,11:50 AM
Ethogram:,2021 bass.csv
Coding Began:,06/16/2021 11:51:11 AM
Coding Ended:,06/16/2021 11:56:13 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Vocal,11:51:11,00:00:04.0039667,00:00:04.0039667
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Inactive,11:51:15,00:00:02.1883787,00:00:06.1923454
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Vocal,11:51:17,00:00:00.7913625,00:00:06.9837079
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Inactive,11:51:18,00:00:02.4628756,00:00:09.4465835
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Scratch,11:51:21,00:00:02.6775300,00:00:12.1241135
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Vocal,11:51:23,00:00:01.6677753,00:00:13.7918888
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Inactive,11:51:25,00:00:02.7585644,00:00:16.5504532
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Vocal,11:51:28,00:00:00.8303064,00:00:17.3807596
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Inactive,11:51:29,00:00:02.6868941,00:00:20.0676537
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Lipsmack,11:51:31,00:00:01.7300529,00:00:21.7977066
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Vocal,11:51:33,00:00:06.2555118,00:00:28.0532184
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Lipsmack,11:51:39,00:00:12.6923216,00:00:40.7455400
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Vocal,11:51:52,00:00:01.6370792,00:00:42.3826192
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Inactive,11:51:54,00:00:02.2586714,00:00:44.6412906
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Vocal,11:51:56,00:00:03.3324714,00:00:47.9737620
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Inactive,11:51:59,00:00:01.9652298,00:00:49.9389918
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Locomotion,11:52:01,00:00:04.4237249,00:00:54.3627167
BNP,R20035,Pair,Ab112c11,2021-6-16,1.0.46.0,Vocal,11:52:06,00:00:02.7676107,00:00:57.1303274
