Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2510
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab108c3
Behavior Date:,2021-5-14
Behavior Time:,11:23 AM
Ethogram:,2021 bass.csv
Coding Began:,05/14/2021 11:26:51 AM
Coding Ended:,05/14/2021 11:31:53 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2510,Pair,Ab108c3,2021-5-14,1.0.46.0,Inactive,11:26:51,00:03:04.8031669,00:03:04.8031669
BNP,Rh2510,Pair,Ab108c3,2021-5-14,1.0.46.0,Social/play,11:29:56,00:01:55.9060935,00:05:00.7092604

BehavCode, Occurrences, totalTime
Inactive,1,00:03:04.8031669
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:01:55.9060935
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
