Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2519
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab165c9
Behavior Date:,2021-6-2
Behavior Time:,11:46 AM
Ethogram:,2021 bass.csv
Coding Began:,06/02/2021 11:47:15 AM
Coding Ended:,06/02/2021 11:52:15 AM
Session duration:,00:05:00
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Tactile/explore,11:47:15,00:00:21.0943439,00:00:21.0943439
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Locomotion,11:47:36,00:00:08.9177859,00:00:30.0121298
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Inactive,11:47:45,00:00:03.5393666,00:00:33.5514964
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Locomotion,11:47:48,00:00:13.5142827,00:00:47.0657791
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Pacing,11:48:02,00:00:54.1516050,00:01:41.2173841
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Inactive,11:48:56,00:00:01.9184110,00:01:43.1357951
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Scratch,11:48:58,00:00:03.6672923,00:01:46.8030874
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Eat/drink,11:49:01,00:00:03.9013616,00:01:50.7044490
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Locomotion,11:49:05,00:00:10.3226089,00:02:01.0270579
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Inactive,11:49:16,00:00:12.1929382,00:02:13.2199961
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Threat/display,11:49:28,00:00:02.4128304,00:02:15.6328265
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Scratch,11:49:30,00:00:05.0019428,00:02:20.6347693
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Locomotion,11:49:35,00:00:15.7410588,00:02:36.3758281
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Pacing,11:49:51,00:00:25.6699298,00:03:02.0457579
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Tactile/explore,11:50:17,00:00:04.1443521,00:03:06.1901100
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Eat/drink,11:50:21,00:01:23.4889281,00:04:29.6790381
BNP,Rh2519,Pair,Ab165c9,2021-6-2,1.0.46.0,Tactile/explore,11:51:44,00:00:29.8319273,00:04:59.5109654

BehavCode, Occurrences, totalTime
Inactive,3,00:00:17.6507158
Threat/display,1,00:00:02.4128304
Sex/self/other,0,00:00:00
Locomotion,4,00:00:48.4957363
Aggression,0,00:00:00
Eat/drink,2,00:01:27.3902897
Pacing,2,00:01:19.8215348
Present,0,00:00:00
Tactile/explore,3,00:00:55.0706233
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:08.6692351
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
