Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2522
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab163c7
Behavior Date:,2021-6-22
Behavior Time:,12:57 PM
Ethogram:,2021 bass.csv
Coding Began:,06/22/2021 12:58:11 PM
Coding Ended:,06/22/2021 13:03:12 PM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Inactive,12:58:11,00:00:48.3205464,00:00:48.3205464
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Locomotion,12:58:59,00:00:01.6966644,00:00:50.0172108
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Inactive,12:59:01,00:00:01.1448338,00:00:51.1620446
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Vocal,12:59:02,00:00:01.2222464,00:00:52.3842910
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Locomotion,12:59:03,00:00:01.6543420,00:00:54.0386330
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Inactive,12:59:05,00:00:27.1545778,00:01:21.1932108
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Locomotion,12:59:32,00:00:08.8366788,00:01:30.0298896
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Inactive,12:59:41,00:00:21.8201038,00:01:51.8499934
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Scratch,01:00:03,00:00:02.7520632,00:01:54.6020566
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Inactive,01:00:05,00:00:08.8650367,00:02:03.4670933
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Groom,01:00:14,00:00:24.9710078,00:02:28.4381011
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Inactive,01:00:39,00:00:29.2129761,00:02:57.6510772
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Locomotion,01:01:08,00:00:02.7562603,00:03:00.4073375
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Threat/display,01:01:11,00:00:02.5568910,00:03:02.9642285
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Inactive,01:01:14,00:00:39.0342113,00:03:41.9984398
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Scratch,01:01:53,00:00:02.9665546,00:03:44.9649944
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Locomotion,01:01:56,00:00:04.2597274,00:03:49.2247218
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Inactive,01:02:00,00:00:05.0600112,00:03:54.2847330
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Threat/display,01:02:05,00:00:02.4875868,00:03:56.7723198
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Inactive,01:02:07,00:00:11.2888853,00:04:08.0612051
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Scratch,01:02:19,00:00:04.1443830,00:04:12.2055881
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Inactive,01:02:23,00:00:30.6870300,00:04:42.8926181
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Scratch,01:02:54,00:00:06.7784754,00:04:49.6710935
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Locomotion,01:03:00,00:00:03.7228391,00:04:53.3939326
BNP,Rh2522,Pair,Ab163c7,2021-6-22,1.0.46.0,Inactive,01:03:04,00:00:06.7044720,00:05:00.0984046

BehavCode, Occurrences, totalTime
Inactive,11,00:03:49.2926844
Threat/display,2,00:00:05.0444778
Sex/self/other,0,00:00:00
Locomotion,6,00:00:22.9265120
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,4,00:00:16.6414762
Groom,1,00:00:24.9710078
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:01.2222464
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
