Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2807
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab140c15
Behavior Date:,2021-5-13
Behavior Time:,10:20 AM
Ethogram:,2021 bass.csv
Coding Began:,05/13/2021 10:21:38 AM
Coding Ended:,05/13/2021 10:26:39 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Social/play,10:21:38,00:01:06.8572280,00:01:06.8572280
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Inactive,10:22:44,00:01:36.5375097,00:02:43.3947377
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Vocal,10:24:21,00:00:01.2660811,00:02:44.6608188
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Inactive,10:24:22,00:00:17.9921313,00:03:02.6529501
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Threat/display,10:24:40,00:00:00.7547203,00:03:03.4076704
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Inactive,10:24:41,00:00:44.2456836,00:03:47.6533540
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Groom,10:25:25,00:00:32.0605210,00:04:19.7138750
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Locomotion,10:25:57,00:00:02.8235836,00:04:22.5374586
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Inactive,10:26:00,00:00:05.8438515,00:04:28.3813101
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Mantleshake,10:26:06,00:00:01.2956898,00:04:29.6769999
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Inactive,10:26:07,00:00:15.6169312,00:04:45.2939311
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Vocal,10:26:23,00:00:00.8736573,00:04:46.1675884
BNP,Rh2807,Group,Ab140c15,2021-5-13,1.0.46.0,Inactive,10:26:24,00:00:14.2645407,00:05:00.4321291

BehavCode, Occurrences, totalTime
Inactive,6,00:03:14.5006480
Threat/display,1,00:00:00.7547203
Sex/self/other,0,00:00:00
Locomotion,1,00:00:02.8235836
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,1,00:00:32.0605210
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,1,00:00:01.2956898
Social/play,1,00:01:06.8572280
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,2,00:00:02.1397384
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
