Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,Rh2998
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh1c7
Behavior Date:,2021-5-10
Behavior Time:,12:25 PM
Ethogram:,2021 bass.csv
Coding Began:,05/10/2021 12:26:18 PM
Coding Ended:,05/10/2021 12:31:51 PM
Session duration:,00:05:33
App Version:,1.0.46.0
Notes:,Selfdirect=chewing on toenail

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Eat/drink,12:26:18,00:00:03.5114226,00:00:03.5114226
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Selfdirect,12:26:21,00:00:04.8359332,00:00:08.3473558
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:26:26,00:00:02.8596442,00:00:11.2070000
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:26:29,00:00:13.9025588,00:00:25.1095588
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Groom,12:26:43,00:00:04.6461561,00:00:29.7557149
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Selfdirect,12:26:48,00:00:05.6334887,00:00:35.3892036
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:26:53,00:00:06.3159804,00:00:41.7051840
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Selfdirect,12:27:00,00:00:05.6571996,00:00:47.3623836
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:27:05,00:00:03.4692113,00:00:50.8315949
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:27:09,00:00:01.3349647,00:00:52.1665596
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Scratch,12:27:10,00:00:01.7822748,00:00:53.9488344
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:27:12,00:00:05.9617280,00:00:59.9105624
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:27:18,00:00:02.8310317,00:01:02.7415941
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Scratch,12:27:21,00:00:03.3182959,00:01:06.0598900
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Selfdirect,12:27:24,00:00:04.0041888,00:01:10.0640788
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:27:28,00:00:02.6242789,00:01:12.6883577
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:27:31,00:00:01.3314392,00:01:14.0197969
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:27:32,00:00:04.0844038,00:01:18.1042007
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Tactile/explore,12:27:36,00:00:25.3935129,00:01:43.4977136
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:28:01,00:00:02.3638502,00:01:45.8615638
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Scratch,12:28:04,00:00:04.9596414,00:01:50.8212052
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:28:09,00:00:02.1163893,00:01:52.9375945
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Selfdirect,12:28:11,00:00:06.6783812,00:01:59.6159757
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:28:17,00:00:01.7275673,00:02:01.3435430
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Scratch,12:28:19,00:00:11.8141852,00:02:13.1577282
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Selfdirect,12:28:31,00:00:03.7965672,00:02:16.9542954
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:28:35,00:00:02.3316709,00:02:19.2859663
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Scratch,12:28:37,00:00:01.9963485,00:02:21.2823148
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:28:39,00:00:03.5944910,00:02:24.8768058
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:28:43,00:00:09.5561048,00:02:34.4329106
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Vocal,12:28:52,00:00:01.3348515,00:02:35.7677621
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:28:54,00:00:02.6581674,00:02:38.4259295
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:28:56,00:00:02.4318690,00:02:40.8577985
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Threat/display,12:28:59,00:00:05.2337332,00:02:46.0915317
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:29:04,00:00:03.1860493,00:02:49.2775810
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:29:07,00:00:04.3627572,00:02:53.6403382
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Scratch,12:29:11,00:00:03.7922830,00:02:57.4326212
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Tactile/explore,12:29:15,00:00:08.4916796,00:03:05.9243008
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:29:24,00:00:02.4292103,00:03:08.3535111
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Tactile/explore,12:29:26,00:00:02.4274124,00:03:10.7809235
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Eat/drink,12:29:29,00:00:02.4663905,00:03:13.2473140
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Tactile/explore,12:29:31,00:00:13.6475554,00:03:26.8948694
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Eat/drink,12:29:45,00:00:08.4917885,00:03:35.3866579
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:29:53,00:00:07.2910532,00:03:42.6777111
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:30:00,00:00:04.7236619,00:03:47.4013730
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Tactile/explore,12:30:05,00:00:05.8055164,00:03:53.2068894
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:30:11,00:00:02.5980050,00:03:55.8048944
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Tactile/explore,12:30:14,00:00:02.8974665,00:03:58.7023609
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:30:17,00:00:05.5327717,00:04:04.2351326
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:30:22,00:00:01.9052845,00:04:06.1404171
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:30:24,00:00:02.2803181,00:04:08.4207352
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Scratch,12:30:26,00:00:02.4356472,00:04:10.8563824
Js,Rh2998,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:30:29,00:00:02.1573049,00:04:13.0136873
