Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,Rh3007
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh1c5
Behavior Date:,2021-5-6
Behavior Time:,10:33 AM
Ethogram:,2021 bass.csv
Coding Began:,05/10/2021 11:29:17 AM
Coding Ended:,05/10/2021 11:34:22 AM
Session duration:,00:05:04
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:29:17,00:00:03.1239217,00:00:03.1239217
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Threat/display,11:29:20,00:00:03.3411451,00:00:06.4650668
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:29:24,00:00:01.2599112,00:00:07.7249780
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:29:25,00:00:03.4035735,00:00:11.1285515
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:29:28,00:00:01.1098718,00:00:12.2384233
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:29:29,00:00:03.0973427,00:00:15.3357660
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Threat/display,11:29:33,00:00:01.8153766,00:00:17.1511426
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:29:34,00:00:03.7769050,00:00:20.9280476
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:29:38,00:00:01.3199438,00:00:22.2479914
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:29:40,00:00:03.2467667,00:00:25.4947581
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:29:43,00:00:01.2862688,00:00:26.7810269
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:29:44,00:00:01.9741885,00:00:28.7552154
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:29:46,00:00:01.5211721,00:00:30.2763875
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:29:48,00:00:03.4857349,00:00:33.7621224
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:29:51,00:00:01.0270495,00:00:34.7891719
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Threat/display,11:29:52,00:00:01.3916247,00:00:36.1807966
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:29:53,00:00:01.8359796,00:00:38.0167762
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:29:55,00:00:01.4572737,00:00:39.4740499
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:29:57,00:00:07.2672827,00:00:46.7413326
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:30:04,00:00:01.5149607,00:00:48.2562933
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:30:06,00:00:02.1977884,00:00:50.4540817
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Scratch,11:30:08,00:00:01.7957251,00:00:52.2498068
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:30:10,00:00:01.1002396,00:00:53.3500464
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:30:11,00:00:01.5694460,00:00:54.9194924
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:30:12,00:00:01.3193755,00:00:56.2388679
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:30:13,00:00:06.7589106,00:01:02.9977785
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:30:20,00:00:01.4188877,00:01:04.4166662
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Threat/display,11:30:22,00:00:01.7808709,00:01:06.1975371
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:30:23,00:00:05.3282134,00:01:11.5257505
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:30:29,00:00:02.4076750,00:01:13.9334255
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:30:31,00:00:07.9912087,00:01:21.9246342
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:30:39,00:00:01.9689904,00:01:23.8936246
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:30:41,00:00:01.2991601,00:01:25.1927847
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Threat/display,11:30:42,00:00:01.4832357,00:01:26.6760204
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:30:44,00:00:02.1053651,00:01:28.7813855
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:30:46,00:00:01.6659269,00:01:30.4473124
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:30:48,00:00:02.9146262,00:01:33.3619386
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Scratch,11:30:51,00:00:03.5838521,00:01:36.9457907
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Threat/display,11:30:54,00:00:01.5213058,00:01:38.4670965
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:30:56,00:00:09.2718338,00:01:47.7389303
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Threat/display,11:31:05,00:00:01.4844599,00:01:49.2233902
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:31:06,00:00:03.8003835,00:01:53.0237737
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:31:10,00:00:02.9696906,00:01:55.9934643
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:31:13,00:00:04.9994026,00:02:00.9928669
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:31:18,00:00:03.5870665,00:02:04.5799334
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Lipsmack,11:31:22,00:00:01.5236656,00:02:06.1035990
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:31:23,00:00:03.2132491,00:02:09.3168481
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Threat/display,11:31:27,00:00:02.1558497,00:02:11.4726978
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:31:29,00:00:01.7408798,00:02:13.2135776
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:31:30,00:00:02.1600381,00:02:15.3736157
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:31:33,00:00:01.6476198,00:02:17.0212355
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:31:34,00:00:01.8623574,00:02:18.8835929
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Locomotion,11:31:36,00:00:01.8370612,00:02:20.7206541
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Threat/display,11:31:38,00:00:01.5008756,00:02:22.2215297
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Inactive,11:31:39,00:00:01.0338104,00:02:23.2553401
Js,Rh3007,Pair,bmqh1c5,2021-5-6,1.0.46.0,Scratch,11:31:41,00:00:04.7915238,00:02:28.0468639
