Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,cy0090
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,mr1523c21
Behavior Date:,2021-5-26
Behavior Time:,09:44 AM
Ethogram:,2021 bass.csv
Coding Began:,05/26/2021 09:45:11 AM
Coding Ended:,05/26/2021 09:50:14 AM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Inactive,09:45:11,00:00:21.1795870,00:00:21.1795870
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Scratch,09:45:32,00:00:01.5086424,00:00:22.6882294
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Inactive,09:45:34,00:00:15.1413899,00:00:37.8296193
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Scratch,09:45:49,00:00:01.9901906,00:00:39.8198099
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Inactive,09:45:51,00:01:05.7888820,00:01:45.6086919
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Locomotion,09:46:57,00:00:06.2895966,00:01:51.8982885
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Inactive,09:47:03,00:00:29.1317270,00:02:21.0300155
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Locomotion,09:47:32,00:00:03.8680220,00:02:24.8980375
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Inactive,09:47:36,00:00:03.6664531,00:02:28.5644906
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Mantleshake,09:47:40,00:00:01.5394744,00:02:30.1039650
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Inactive,09:47:41,00:00:16.9987548,00:02:47.1027198
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Yawn,09:47:58,00:00:01.0672498,00:02:48.1699696
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Inactive,09:47:59,00:00:17.8530555,00:03:06.0230251
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Groom,09:48:17,00:00:12.4892149,00:03:18.5122400
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Inactive,09:48:30,00:00:17.7220638,00:03:36.2343038
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Tactile/explore,09:48:47,00:00:11.8281665,00:03:48.0624703
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Scratch,09:48:59,00:00:02.8335071,00:03:50.8959774
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Inactive,09:49:02,00:00:05.5774823,00:03:56.4734597
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Scratch,09:49:08,00:00:05.1773512,00:04:01.6508109
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Inactive,09:49:13,00:00:14.7871376,00:04:16.4379485
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Scratch,09:49:28,00:00:06.0183437,00:04:22.4562922
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Groom,09:49:34,00:00:03.5673096,00:04:26.0236018
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Scratch,09:49:37,00:00:02.6844917,00:04:28.7080935
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Inactive,09:49:40,00:00:23.3172100,00:04:52.0253035
ta,cy0090,Pair,mr1523c21,2021-5-26,1.0.46.0,Social/play,09:50:03,00:00:09.7493366,00:05:01.7746401

BehavCode, Occurrences, totalTime
Inactive,11,00:03:51.1637430
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:10.1576186
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,1,00:00:11.8281665
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,6,00:00:20.2125267
Groom,2,00:00:16.0565245
Rock,0,00:00:00
Yawn,1,00:00:01.0672498
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,1,00:00:01.5394744
Social/play,1,00:00:09.7493366
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
