Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,cy0285
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,mr1527c21
Behavior Date:,2021-5-14
Behavior Time:,11:11 AM
Ethogram:,2021 bass.csv
Coding Began:,05/14/2021 11:12:23 AM
Coding Ended:,05/14/2021 11:17:25 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0285,Pair,mr1527c21,2021-5-14,1.0.46.0,Inactive,11:12:23,00:00:20.6941811,00:00:20.6941811
ta,cy0285,Pair,mr1527c21,2021-5-14,1.0.46.0,Scratch,11:12:44,00:00:00.6443086,00:00:21.3384897
ta,cy0285,Pair,mr1527c21,2021-5-14,1.0.46.0,Inactive,11:12:44,00:01:49.0192789,00:02:10.3577686
ta,cy0285,Pair,mr1527c21,2021-5-14,1.0.46.0,Groom,11:14:33,00:00:28.3649844,00:02:38.7227530
ta,cy0285,Pair,mr1527c21,2021-5-14,1.0.46.0,Lipsmack,11:15:02,00:00:13.6540939,00:02:52.3768469
ta,cy0285,Pair,mr1527c21,2021-5-14,1.0.46.0,Inactive,11:15:15,00:00:16.3818653,00:03:08.7587122
ta,cy0285,Pair,mr1527c21,2021-5-14,1.0.46.0,Groom,11:15:32,00:00:21.2301123,00:03:29.9888245
ta,cy0285,Pair,mr1527c21,2021-5-14,1.0.46.0,Scratch,11:15:53,00:00:05.1782464,00:03:35.1670709
ta,cy0285,Pair,mr1527c21,2021-5-14,1.0.46.0,Inactive,11:15:58,00:01:25.5943316,00:05:00.7614025

BehavCode, Occurrences, totalTime
Inactive,4,00:03:51.6896569
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,1,00:00:13.6540939
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:05.8225550
Groom,2,00:00:49.5950967
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
