Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,ta,,,,,,,,
Study Code:,bass,,,,,,,,
Indiv ID:,cy0633,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Single,,,,,,,,
Room/Cage:,mr1557c14,,,,,,,,
Behavior Date:,5/4/21,,,,,,,,
Behavior Time:,10:20 AM,,,,,,,,
Ethogram:,2021 bass.csv,,,,,,,,
Coding Began:,5/4/21 10:20,,,,,,,,
Coding Ended:,5/4/21 10:25,,,,,,,,
Session duration:,0:05:03,,,,,,,,
App Version:,1.0.44.0,,,,,,,,
Notes:,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Groom,10:20:47,01:13.6,01:13.6
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Scratch,10:22:00,00:02.7,01:16.3
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Groom,10:22:03,00:13.9,01:30.2
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Scratch,10:22:17,00:01.2,01:31.4
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Yawn,10:22:18,00:02.1,01:33.5
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Inactive,10:22:20,00:13.6,01:47.1
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Groom,10:22:34,00:41.5,02:28.6
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Inactive,10:23:15,00:07.2,02:35.8
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Groom,10:23:23,01:23.5,03:59.3
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Inactive,10:24:46,00:07.3,04:06.6
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Tactile/explore,10:24:53,00:42.3,04:49.0
ta,cy0633,Single,mr1557c14,5/4/21,1.0.44.0,Groom,10:25:36,00:13.0,05:02.0
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,3,00:28.1,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,0,0:00:00,,,,,,,
Aggression,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,0,0:00:00,,,,,,,
Present,0,0:00:00,,,,,,,
Tactile/explore,1,00:42.3,,,,,,,
Jumping,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Scratch,2,00:03.9,,,,,,,
Groom,5,03:45.5,,,,,,,
Rock,0,0:00:00,,,,,,,
Yawn,1,00:02.1,,,,,,,
SocGroom,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Cling,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
