Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,cy0893
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,mr1523c15
Behavior Date:,2021-5-21
Behavior Time:,11:29 AM
Ethogram:,2021 bass.csv
Coding Began:,05/21/2021 11:29:40 AM
Coding Ended:,05/21/2021 11:34:42 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Groom,11:29:40,00:00:43.2228143,00:00:43.2228143
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Inactive,11:30:23,00:01:51.7002006,00:02:34.9230149
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Locomotion,11:32:15,00:00:04.9257869,00:02:39.8488018
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Inactive,11:32:20,00:00:27.7830903,00:03:07.6318921
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Locomotion,11:32:48,00:00:01.8517017,00:03:09.4835938
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Threat/display,11:32:50,00:00:02.7352609,00:03:12.2188547
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Groom,11:32:52,00:00:08.9739982,00:03:21.1928529
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Mantleshake,11:33:01,00:00:02.9679549,00:03:24.1608078
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Inactive,11:33:04,00:00:22.8773196,00:03:47.0381274
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Groom,11:33:27,00:00:23.4120716,00:04:10.4501990
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Inactive,11:33:51,00:00:46.7498982,00:04:57.2000972
ta,cy0893,Pair,mr1523c15,2021-5-21,1.0.46.0,Groom,11:34:37,00:00:03.7424070,00:05:00.9425042

BehavCode, Occurrences, totalTime
Inactive,4,00:03:29.1105087
Threat/display,1,00:00:02.7352609
Sex/self/other,0,00:00:00
Locomotion,2,00:00:06.7774886
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,4,00:01:19.3512911
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,1,00:00:02.9679549
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
