Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r09062
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a271c2
Behavior Date:,2021-5-5
Behavior Time:,11:01 AM
Ethogram:,2021 bass.csv
Coding Began:,05/05/2021 11:02:34 AM
Coding Ended:,05/05/2021 11:07:36 AM
Session duration:,00:05:02
App Version:,1.0.44.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r09062,Single,a271c2,2021-5-5,1.0.44.0,Inactive,11:02:34,00:04:29.2748092,00:04:29.2748092
ta,r09062,Single,a271c2,2021-5-5,1.0.44.0,Locomotion,11:07:03,00:00:01.7499738,00:04:31.0247830
ta,r09062,Single,a271c2,2021-5-5,1.0.44.0,Inactive,11:07:05,00:00:03.4055910,00:04:34.4303740
ta,r09062,Single,a271c2,2021-5-5,1.0.44.0,Tactile/expl,11:07:08,00:00:03.3304625,00:04:37.7608365
ta,r09062,Single,a271c2,2021-5-5,1.0.44.0,Locomotion,11:07:11,00:00:01.6872042,00:04:39.4480407
ta,r09062,Single,a271c2,2021-5-5,1.0.44.0,Eat/drink,11:07:13,00:00:09.6411618,00:04:49.0892025
ta,r09062,Single,a271c2,2021-5-5,1.0.44.0,Locomotion,11:07:23,00:00:02.3393140,00:04:51.4285165
ta,r09062,Single,a271c2,2021-5-5,1.0.44.0,Inactive,11:07:25,00:00:08.5099029,00:04:59.9384194
ta,r09062,Single,a271c2,2021-5-5,1.0.44.0,Locomotion,11:07:34,00:00:01.0937111,00:05:01.0321305

BehavCode, Occurrences, totalTime
Inactive,3,00:04:41.1903031
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,4,00:00:06.8702031
Aggression,0,00:00:00
Eat/drink,1,00:00:09.6411618
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/expl,1,00:00:03.3304625
Jumping,0,00:00:00
FearGrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
