Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,ta,,,,,,,,
Study Code:,bass,,,,,,,,
Indiv ID:,r13100,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Pair,,,,,,,,
Room/Cage:,mr1553c11,,,,,,,,
Behavior Date:,5/4/21,,,,,,,,
Behavior Time:,12:30 PM,,,,,,,,
Ethogram:,2021 bass.csv,,,,,,,,
Coding Began:,5/4/21 12:31,,,,,,,,
Coding Ended:,5/4/21 12:36,,,,,,,,
Session duration:,0:05:02,,,,,,,,
App Version:,1.0.44.0,,,,,,,,
Notes:,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r13100,Pair,mr1553c11,5/4/21,1.0.44.0,Inactive,12:31:31,00:39.6,00:39.6
ta,r13100,Pair,mr1553c11,5/4/21,1.0.44.0,Locomotion,12:32:10,00:01.2,00:40.8
ta,r13100,Pair,mr1553c11,5/4/21,1.0.44.0,Scratch,12:32:12,00:02.9,00:43.7
ta,r13100,Pair,mr1553c11,5/4/21,1.0.44.0,Inactive,12:32:14,04:17.2,05:01.0
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,2,04:56.9,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,1,00:01.2,,,,,,,
Aggression,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,0,0:00:00,,,,,,,
Present,0,0:00:00,,,,,,,
Tactile/explore,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Scratch,1,00:02.9,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
SocGroom,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Cling,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
