Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r14046
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,mr1553c13
Behavior Date:,2021-5-14
Behavior Time:,10:12 AM
Ethogram:,2021 bass.csv
Coding Began:,05/14/2021 10:13:47 AM
Coding Ended:,05/14/2021 10:18:49 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Inactive,10:13:47,00:00:44.9092166,00:00:44.9092166
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Yawn,10:14:32,00:00:01.3793800,00:00:46.2885966
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Inactive,10:14:33,00:00:46.3732194,00:01:32.6618160
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Yawn,10:15:19,00:00:01.1905611,00:01:33.8523771
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Inactive,10:15:20,00:00:57.5751800,00:02:31.4275571
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Locomotion,10:16:18,00:00:02.0281844,00:02:33.4557415
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Present,10:16:20,00:00:06.9849232,00:02:40.4406647
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Inactive,10:16:27,00:00:03.7043504,00:02:44.1450151
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Present,10:16:31,00:00:17.7905874,00:03:01.9356025
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Locomotion,10:16:49,00:00:10.0131866,00:03:11.9487891
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Pacing,10:16:59,00:00:05.5753891,00:03:17.5241782
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Present,10:17:04,00:00:27.9168563,00:03:45.4410345
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Yawn,10:17:32,00:00:03.2698191,00:03:48.7108536
ta,r14046,Single,mr1553c13,2021-5-14,1.0.46.0,Inactive,10:17:35,00:01:12.1635495,00:05:00.8744031

BehavCode, Occurrences, totalTime
Inactive,5,00:03:44.7255159
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:12.0413710
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,1,00:00:05.5753891
Present,3,00:00:52.6923669
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,3,00:00:05.8397602
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
