Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r17041
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,a270c21
Behavior Date:,2021-5-27
Behavior Time:,11:03 AM
Ethogram:,2021 bass.csv
Coding Began:,05/27/2021 11:03:49 AM
Coding Ended:,05/27/2021 11:08:52 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r17041,Pair,a270c21,2021-5-27,1.0.46.0,Social/play,11:03:49,00:02:41.8983761,00:02:41.8983761
ta,r17041,Pair,a270c21,2021-5-27,1.0.46.0,SocGroom,11:06:31,00:00:32.8110893,00:03:14.7094654
ta,r17041,Pair,a270c21,2021-5-27,1.0.46.0,Social/play,11:07:04,00:01:46.1786711,00:05:00.8881365

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:00:32.8110893
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,2,00:04:28.0770472
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
