Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,r19071
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,c420c25
Behavior Date:,2021-6-21
Behavior Time:,12:50 PM
Ethogram:,2021 bass.csv
Coding Began:,06/21/2021 12:51:46 PM
Coding Ended:,06/21/2021 12:56:50 PM
Session duration:,00:05:04
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Locomotion,12:51:46,00:00:08.1364305,00:00:08.1364305
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Inactive,12:51:54,00:00:23.8416915,00:00:31.9781220
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Locomotion,12:52:18,00:00:14.3881537,00:00:46.3662757
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Threat/display,12:52:32,00:00:02.1941939,00:00:48.5604696
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Jumping,12:52:34,00:00:02.5490018,00:00:51.1094714
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Inactive,12:52:37,00:00:15.0754201,00:01:06.1848915
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Locomotion,12:52:52,00:00:15.7494075,00:01:21.9342990
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Eat/drink,12:53:08,00:00:48.0663702,00:02:10.0006692
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Locomotion,12:53:56,00:00:01.7369832,00:02:11.7376524
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Social/play,12:53:57,00:00:02.3779113,00:02:14.1155637
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Locomotion,12:54:00,00:00:02.8114753,00:02:16.9270390
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Eat/drink,12:54:03,00:02:07.7714334,00:04:24.6984724
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Locomotion,12:56:10,00:00:04.7094901,00:04:29.4079625
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Social/play,12:56:15,00:00:04.8923092,00:04:34.3002717
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Eat/drink,12:56:20,00:00:11.2218855,00:04:45.5221572
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Social/play,12:56:31,00:00:03.3712345,00:04:48.8933917
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Eat/drink,12:56:35,00:00:09.7935255,00:04:58.6869172
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Swing/spin/flip,12:56:44,00:00:02.2292400,00:05:00.9161572
mr,r19071,Pair,c420c25,2021-6-21,1.0.46.0,Locomotion,12:56:47,00:00:01.5892570,00:05:02.5054142

BehavCode, Occurrences, totalTime
Inactive,2,00:00:38.9171116
Threat/display,1,00:00:02.1941939
Sex/self/other,0,00:00:00
Locomotion,7,00:00:49.1211973
Aggression,0,00:00:00
Eat/drink,4,00:03:16.8532146
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,1,00:00:02.5490018
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,1,00:00:02.2292400
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,3,00:00:10.6414550
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
