Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,rh2999
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a265c11
Behavior Date:,2021-5-19
Behavior Time:,11:28 AM
Ethogram:,2021 bass.csv
Coding Began:,05/19/2021 11:28:36 AM
Coding Ended:,05/19/2021 11:33:41 AM
Session duration:,00:05:04
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rh2999,Single,a265c11,2021-5-19,1.0.46.0,Inactive,11:28:36,00:00:12.9937747,00:00:12.9937747
ta,rh2999,Single,a265c11,2021-5-19,1.0.46.0,Threat/display,11:28:49,00:00:01.4153521,00:00:14.4091268
ta,rh2999,Single,a265c11,2021-5-19,1.0.46.0,Inactive,11:28:51,00:01:04.7214336,00:01:19.1305604
ta,rh2999,Single,a265c11,2021-5-19,1.0.46.0,Groom,11:29:56,00:00:09.3600018,00:01:28.4905622
ta,rh2999,Single,a265c11,2021-5-19,1.0.46.0,Inactive,11:30:05,00:00:17.2407981,00:01:45.7313603
ta,rh2999,Single,a265c11,2021-5-19,1.0.46.0,Locomotion,11:30:22,00:00:03.2838274,00:01:49.0151877
ta,rh2999,Single,a265c11,2021-5-19,1.0.46.0,Inactive,11:30:25,00:00:47.1034783,00:02:36.1186660
ta,rh2999,Single,a265c11,2021-5-19,1.0.46.0,Locomotion,11:31:13,00:00:01.7182819,00:02:37.8369479
ta,rh2999,Single,a265c11,2021-5-19,1.0.46.0,Inactive,11:31:14,00:01:05.2438119,00:03:43.0807598
ta,rh2999,Single,a265c11,2021-5-19,1.0.46.0,Locomotion,11:32:20,00:00:02.2587307,00:03:45.3394905
ta,rh2999,Single,a265c11,2021-5-19,1.0.46.0,Inactive,11:32:22,00:01:17.2743423,00:05:02.6138328

BehavCode, Occurrences, totalTime
Inactive,6,00:04:44.5776389
Threat/display,1,00:00:01.4153521
Sex/self/other,0,00:00:00
Locomotion,3,00:00:07.2608400
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,1,00:00:09.3600018
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
