Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,rhbk86
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,mr1527c2
Behavior Date:,2021-5-10
Behavior Time:,10:08 AM
Ethogram:,2021 bass.csv
Coding Began:,05/10/2021 10:09:12 AM
Coding Ended:,05/10/2021 10:14:14 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rhbk86,Single,mr1527c2,2021-5-10,1.0.46.0,Inactive,10:09:12,00:00:05.9303935,00:00:05.9303935
ta,rhbk86,Single,mr1527c2,2021-5-10,1.0.46.0,Scratch,10:09:18,00:00:02.9563947,00:00:08.8867882
ta,rhbk86,Single,mr1527c2,2021-5-10,1.0.46.0,Inactive,10:09:21,00:00:20.1324124,00:00:29.0192006
ta,rhbk86,Single,mr1527c2,2021-5-10,1.0.46.0,Scratch,10:09:41,00:00:02.2203782,00:00:31.2395788
ta,rhbk86,Single,mr1527c2,2021-5-10,1.0.46.0,Inactive,10:09:43,00:01:28.6571141,00:01:59.8966929
ta,rhbk86,Single,mr1527c2,2021-5-10,1.0.46.0,Locomotion,10:11:12,00:00:08.3558492,00:02:08.2525421
ta,rhbk86,Single,mr1527c2,2021-5-10,1.0.46.0,Pacing,10:11:20,00:00:22.6254408,00:02:30.8779829
ta,rhbk86,Single,mr1527c2,2021-5-10,1.0.46.0,Inactive,10:11:43,00:02:30.2852991,00:05:01.1632820

BehavCode, Occurrences, totalTime
Inactive,4,00:04:25.0052191
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:08.3558492
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,1,00:00:22.6254408
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:05.1767729
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
