Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,Bnp,,,,,,,,
Study Code:,Bass2021,,,,,,,,
Indiv ID:,R18078,,,,,,,,
Obs Site:,Other Site,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Group,,,,,,,,
Room/Cage:,Ab113/9,,,,,,,,
Behavior Date:,4/22/21,,,,,,,,
Behavior Time:,11:20 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/22/21 11:21,,,,,,,,
Coding Ended:,4/22/21 11:26,,,,,,,,
Session duration:,0:05:01,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Inactive,11:21:08,00:10.0,00:10.0
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:21:18,00:04.3,00:14.3
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Inactive,11:21:22,00:04.9,00:19.2
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:21:27,00:01.9,00:21.1
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Eat/drink,11:21:29,00:03.7,00:24.8
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:21:32,00:19.6,00:44.4
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Inactive,11:21:52,00:05.1,00:49.4
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:21:57,00:05.4,00:54.9
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Social/play,11:22:03,00:04.2,00:59.1
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Inactive,11:22:07,00:25.3,01:24.4
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:22:32,00:07.9,01:32.4
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:22:40,00:00.7,01:33.1
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Inactive,11:22:41,00:09.3,01:42.3
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:22:50,00:04.9,01:47.2
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Social/play,11:22:55,00:06.9,01:54.1
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:23:02,00:04.4,01:58.5
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Social/play,11:23:06,00:04.6,02:03.1
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:23:11,00:14.9,02:18.0
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Tactile/explore,11:23:26,00:05.7,02:23.7
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Inactive,11:23:31,00:07.1,02:30.8
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:23:38,00:03.8,02:34.6
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Social/play,11:23:42,00:01.9,02:36.5
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:23:44,00:03.8,02:40.3
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Social/play,11:23:48,00:26.8,03:07.1
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:24:15,00:07.6,03:14.7
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Social/play,11:24:22,00:14.4,03:29.1
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Locomotion,11:24:37,00:02.5,03:31.5
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Social/play,11:24:39,00:05.6,03:37.1
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Groom,11:24:45,00:52.9,04:30.0
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Vocal,11:25:38,00:01.7,04:31.8
Bnp,R18078,Group,Ab113/9,4/22/21,1.0.43.0,Social/play,11:25:39,00:28.8,05:00.6
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,6,01:01.7,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,13,01:21.6,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,1,00:03.7,,,,,,,
Pacing,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/explore,1,00:05.7,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,0,0:00:00,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
Groom,1,00:52.9,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,8,01:33.3,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,1,00:01.7,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
