Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,BNP,,,,,,,,
Study Code:,Bass2021,,,,,,,,
Indiv ID:,Rhbm64,,,,,,,,
Obs Site:,Other Site,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Single,,,,,,,,
Room/Cage:,Ab117c9,,,,,,,,
Behavior Date:,4/28/21,,,,,,,,
Behavior Time:,11:18 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/28/21 11:20,,,,,,,,
Coding Ended:,4/28/21 11:25,,,,,,,,
Session duration:,0:05:00,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:20:01,00:04.2,00:04.2
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:20:05,00:02.4,00:06.6
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:20:07,00:06.4,00:13.0
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:20:14,00:07.2,00:20.3
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:20:21,00:15.8,00:36.1
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:20:37,00:04.5,00:40.5
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:20:41,00:01.8,00:42.4
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:20:43,00:13.0,00:55.4
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:20:56,00:05.2,01:00.6
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Pacing,11:21:01,00:03.1,01:03.7
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:21:04,00:02.5,01:06.2
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:21:07,00:03.0,01:09.2
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:21:10,00:03.1,01:12.3
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:21:13,00:03.4,01:15.7
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:21:16,00:02.0,01:17.7
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:21:18,00:03.0,01:20.7
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:21:21,00:02.0,01:22.7
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:21:23,00:02.0,01:24.7
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:21:25,00:01.6,01:26.3
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:21:27,00:06.4,01:32.7
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Pacing,11:21:33,01:05.1,02:37.9
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:22:38,00:16.1,02:54.0
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:22:55,00:03.2,02:57.1
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:22:58,00:03.5,03:00.7
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:23:01,00:01.7,03:02.4
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:23:03,00:37.3,03:39.7
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:23:40,00:06.8,03:46.5
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Pacing,11:23:47,00:53.7,04:40.2
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Inactive,11:24:41,00:06.0,04:46.2
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Locomotion,11:24:47,00:07.5,04:53.7
BNP,Rhbm64,Single,Ab117c9,4/28/21,1.0.43.0,Pacing,11:24:54,00:06.1,04:59.8
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,13,01:41.2,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,14,01:10.6,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,4,02:08.0,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/explore,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,0,0:00:00,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
