Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,mr,,,,,,,,
Study Code:,2021 bass,,,,,,,,
Indiv ID:,cy0922,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Group,,,,,,,,
Room/Cage:,cb22c1,,,,,,,,
Behavior Date:,4/23/21,,,,,,,,
Behavior Time:,12:01 PM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/26/21 10:26,,,,,,,,
Coding Ended:,4/26/21 10:31,,,,,,,,
Session duration:,0:05:02,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,cy0922,Group,cb22c1,4/23/21,1.0.43.0,Eat/drink,10:26:06,00:03.2,00:03.2
mr,cy0922,Group,cb22c1,4/23/21,1.0.43.0,Mantleshake,10:26:09,00:02.9,00:06.1
mr,cy0922,Group,cb22c1,4/23/21,1.0.43.0,Eat/drink,10:26:12,00:09.7,00:15.8
mr,cy0922,Group,cb22c1,4/23/21,1.0.43.0,Inactive,10:26:22,00:40.8,00:56.6
mr,cy0922,Group,cb22c1,4/23/21,1.0.43.0,Scratch,10:27:03,00:02.5,00:59.1
mr,cy0922,Group,cb22c1,4/23/21,1.0.43.0,Inactive,10:27:05,00:59.4,01:58.5
mr,cy0922,Group,cb22c1,4/23/21,1.0.43.0,Locomotion,10:28:04,00:48.4,02:46.9
mr,cy0922,Group,cb22c1,4/23/21,1.0.43.0,Tactile/explore,10:28:53,01:45.6,04:32.5
mr,cy0922,Group,cb22c1,4/23/21,1.0.43.0,Inactive,10:30:39,00:21.6,04:54.1
mr,cy0922,Group,cb22c1,4/23/21,1.0.43.0,Scratch,10:31:00,00:03.2,04:57.3
mr,cy0922,Group,cb22c1,4/23/21,1.0.43.0,Tactile/explore,10:31:03,00:03.7,05:01.0
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,3,02:01.8,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,1,00:48.4,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,2,00:12.9,,,,,,,
Pacing,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/explore,2,01:49.3,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,2,00:05.7,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,1,00:02.9,,,,,,,
Social/play,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
