Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,ta,,,,,,,,
Study Code:,bass,,,,,,,,
Indiv ID:,r17049,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Group,,,,,,,,
Room/Cage:,mr1520c13,,,,,,,,
Behavior Date:,4/22/21,,,,,,,,
Behavior Time:,10:39 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/22/21 10:39,,,,,,,,
Coding Ended:,4/22/21 10:44,,,,,,,,
Session duration:,0:05:01,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
Notes:,groom - grooming r17111,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,SocGroom,10:39:48,01:59.4,01:59.4
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Social/play,10:41:47,00:01.5,02:00.9
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,SocGroom,10:41:49,00:11.8,02:12.8
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Locomotion,10:42:00,00:03.9,02:16.6
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Inactive,10:42:04,00:16.0,02:32.7
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Locomotion,10:42:20,00:03.2,02:35.9
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Social/play,10:42:24,00:08.0,02:43.8
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,SocGroom,10:42:31,00:45.4,03:29.3
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Social/play,10:43:17,00:08.8,03:38.0
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Inactive,10:43:26,00:03.1,03:41.1
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Locomotion,10:43:29,00:03.8,03:44.9
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Social/play,10:43:33,00:04.1,03:48.9
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,SocGroom,10:43:37,00:19.0,04:08.0
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Locomotion,10:43:56,00:02.5,04:10.5
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Scratch,10:43:58,00:01.6,04:12.1
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Inactive,10:44:00,00:04.7,04:16.9
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Locomotion,10:44:05,00:02.5,04:19.3
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Social/play,10:44:07,00:05.6,04:24.9
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Locomotion,10:44:13,00:03.5,04:28.5
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,SocGroom,10:44:16,00:17.8,04:46.3
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Locomotion,10:44:34,00:02.5,04:48.8
ta,r17049,Group,mr1520c13,4/22/21,1.0.43.0,Inactive,10:44:36,00:11.9,05:00.7
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,4,00:35.7,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,7,00:21.9,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/explore,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,1,00:01.6,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
SocGroom,5,03:33.6,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,5,00:27.9,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
