Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,mr,,,,,,,,
Study Code:,2021 bass,,,,,,,,
Indiv ID:,r19023,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Pair,,,,,,,,
Room/Cage:,cb28c13,,,,,,,,
Behavior Date:,4/28/21,,,,,,,,
Behavior Time:,11:28 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/28/21 11:32,,,,,,,,
Coding Ended:,4/28/21 11:37,,,,,,,,
Session duration:,0:05:02,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Threat/display,11:32:19,00:03.0,00:03.0
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Vocal,11:32:22,00:37.3,00:40.3
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Inactive,11:32:59,00:09.9,00:50.2
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Locomotion,11:33:09,01:20.8,02:11.0
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Social/play,11:34:30,00:11.0,02:22.0
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Locomotion,11:34:41,00:05.4,02:27.4
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Social/play,11:34:47,00:03.3,02:30.7
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Yawn,11:34:50,00:03.6,02:34.4
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Social/play,11:34:54,00:07.4,02:41.7
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Locomotion,11:35:01,00:13.2,02:55.0
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Yawn,11:35:14,00:02.6,02:57.6
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Locomotion,11:35:17,00:22.4,03:20.1
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Inactive,11:35:39,00:45.9,04:05.9
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Scratch,11:36:25,00:06.8,04:12.8
mr,r19023,Pair,cb28c13,4/28/21,1.0.43.0,Inactive,11:36:32,00:48.3,05:01.0
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,3,01:44.0,,,,,,,
Threat/display,1,00:03.0,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,4,02:01.9,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/expl,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,1,00:06.8,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,2,00:06.3,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,3,00:21.7,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,1,00:37.3,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
