Focal Animal Recording
(c)Michael J. Renner

Observer:,js
Study Code:,2021bass
Indiv ID:,C19016
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Group
Room/Cage:,bmqh2c53
Behavior Date:,2021-6-14
Behavior Time:,12:07 PM
Ethogram:,2021 bass.csv
Coding Began:,06/14/2021 12:16:05 PM
Coding Ended:,06/14/2021 12:21:10 PM
Session duration:,00:05:05
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:16:05,00:00:31.0349689,00:00:31.0349689
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Lipsmack,12:16:36,00:00:06.0853481,00:00:37.1203170
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:16:42,00:00:27.2755386,00:01:04.3958556
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Locomotion,12:17:09,00:00:05.2263672,00:01:09.6222228
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Lipsmack,12:17:15,00:00:03.9581175,00:01:13.5803403
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Locomotion,12:17:19,00:00:02.3807868,00:01:15.9611271
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:17:21,00:00:05.9877833,00:01:21.9489104
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Lipsmack,12:17:27,00:00:02.7494099,00:01:24.6983203
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Locomotion,12:17:30,00:00:02.8903532,00:01:27.5886735
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:17:33,00:00:20.7412684,00:01:48.3299419
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Lipsmack,12:17:53,00:00:03.6363785,00:01:51.9663204
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:17:57,00:00:00.1875939,00:01:52.1539143
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:17:57,00:01:05.6832675,00:02:57.8371818
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Lipsmack,12:19:03,00:00:02.6245766,00:03:00.4617584
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Locomotion,12:19:05,00:00:01.1794998,00:03:01.6412582
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:19:07,00:01:29.4427974,00:04:31.0840556
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Locomotion,12:20:36,00:00:03.7098931,00:04:34.7939487
js,C19016,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:20:40,00:00:27.5447645,00:05:02.3387132

BehavCode, Occurrences, totalTime
Inactive,8,00:04:27.8979825
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,5,00:00:15.3869001
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,5,00:00:19.0538306
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
