Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,Cy1048
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh5c27
Behavior Date:,2021-6-21
Behavior Time:,11:42 AM
Ethogram:,2021 bass.csv
Coding Began:,06/21/2021 11:44:42 AM
Coding Ended:,06/21/2021 11:50:05 AM
Session duration:,00:05:23
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,Inactive,11:44:42,00:02:36.8845051,00:02:36.8845051
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,Locomotion,11:47:19,00:00:02.1758623,00:02:39.0603674
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,Inactive,11:47:21,00:00:30.5818097,00:03:09.6421771
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,Vocal,11:47:51,00:00:01.4340275,00:03:11.0762046
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,Inactive,11:47:53,00:00:15.2676314,00:03:26.3438360
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,SocGroom,11:48:08,00:00:08.1796937,00:03:34.5235297
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,Inactive,11:48:16,00:00:05.7788508,00:03:40.3023805
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,SocGroom,11:48:22,00:00:49.4030593,00:04:29.7054398
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,Inactive,11:49:12,00:00:02.5700423,00:04:32.2754821
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,SocGroom,11:49:14,00:00:39.9611516,00:05:12.2366337
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,Inactive,11:49:54,00:00:07.3021935,00:05:19.5388272
Js,Cy1048,Pair,bmqh5c27,2021-6-21,1.0.46.0,Groom,11:50:01,00:00:01.6968050,00:05:21.2356322

BehavCode, Occurrences, totalTime
Inactive,6,00:03:38.3850328
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:02.1758623
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,1,00:00:01.6968050
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,3,00:01:37.5439046
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:01.4340275
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
