Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R02034
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab163c23
Behavior Date:,2021-6-22
Behavior Time:,12:15 PM
Ethogram:,2021 bass.csv
Coding Began:,06/22/2021 12:17:42 PM
Coding Ended:,06/22/2021 12:22:44 PM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,Inactive,12:17:42,00:00:51.2273282,00:00:51.2273282
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,Scratch,12:18:34,00:00:04.4795879,00:00:55.7069161
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,Inactive,12:18:38,00:00:36.5948358,00:01:32.3017519
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,SocGroom,12:19:15,00:00:19.1417901,00:01:51.4435420
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,Inactive,12:19:34,00:00:19.0963053,00:02:10.5398473
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,Scratch,12:19:53,00:00:02.7824521,00:02:13.3222994
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,Inactive,12:19:56,00:01:44.0694123,00:03:57.3917117
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,Scratch,12:21:40,00:00:06.2533336,00:04:03.6450453
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,SocGroom,12:21:46,00:00:03.8824077,00:04:07.5274530
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,Inactive,12:21:50,00:00:24.3580928,00:04:31.8855458
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,Yawn,12:22:14,00:00:01.6440790,00:04:33.5296248
BNP,R02034,Group,Ab163c23,2021-6-22,1.0.46.0,Inactive,12:22:16,00:00:26.8673692,00:05:00.3969940

BehavCode, Occurrences, totalTime
Inactive,6,00:04:22.2133436
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,3,00:00:13.5153736
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,1,00:00:01.6440790
SocGroom,2,00:00:23.0241978
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
