Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R08025
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab119c17
Behavior Date:,2021-5-17
Behavior Time:,11:24 AM
Ethogram:,2021 bass.csv
Coding Began:,05/17/2021 11:24:38 AM
Coding Ended:,05/17/2021 11:29:39 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R08025,Group,Ab119c17,2021-5-17,1.0.46.0,Inactive,11:24:38,00:01:36.2910951,00:01:36.2910951
BNP,R08025,Group,Ab119c17,2021-5-17,1.0.46.0,Locomotion,11:26:14,00:00:02.5643373,00:01:38.8554324
BNP,R08025,Group,Ab119c17,2021-5-17,1.0.46.0,Inactive,11:26:17,00:01:13.2357924,00:02:52.0912248
BNP,R08025,Group,Ab119c17,2021-5-17,1.0.46.0,Locomotion,11:27:30,00:00:06.5072269,00:02:58.5984517
BNP,R08025,Group,Ab119c17,2021-5-17,1.0.46.0,Pacing,11:27:36,00:01:25.8832028,00:04:24.4816545
BNP,R08025,Group,Ab119c17,2021-5-17,1.0.46.0,Inactive,11:29:02,00:00:35.7682703,00:05:00.2499248

BehavCode, Occurrences, totalTime
Inactive,3,00:03:25.2951578
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:09.0715642
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,1,00:01:25.8832028
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
