Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R09013
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab144c1
Behavior Date:,2021-5-20
Behavior Time:,11:16 AM
Ethogram:,2021 bass.csv
Coding Began:,05/20/2021 11:16:48 AM
Coding Ended:,05/20/2021 11:21:49 AM
Session duration:,00:05:00
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:16:48,00:00:11.6340553,00:00:11.6340553
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:16:59,00:00:00.9520533,00:00:12.5861086
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Feargrimace,11:17:00,00:00:00.6719232,00:00:13.2580318
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:17:01,00:00:03.5157562,00:00:16.7737880
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:17:04,00:00:01.6477766,00:00:18.4215646
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Feargrimace,11:17:06,00:00:00.7344260,00:00:19.1559906
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:17:07,00:00:01.4836955,00:00:20.6396861
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Feargrimace,11:17:08,00:00:02.4181525,00:00:23.0578386
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:17:11,00:00:02.9113431,00:00:25.9691817
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:17:14,00:00:00.5873239,00:00:26.5565056
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Feargrimace,11:17:14,00:00:00.8438053,00:00:27.4003109
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:17:15,00:00:04.5140495,00:00:31.9143604
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:17:20,00:00:00.9395481,00:00:32.8539085
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Feargrimace,11:17:21,00:00:00.6620533,00:00:33.5159618
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:17:21,00:00:02.7069172,00:00:36.2228790
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:17:24,00:00:01.2091286,00:00:37.4320076
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:17:25,00:00:16.7627262,00:00:54.1947338
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Feargrimace,11:17:42,00:00:00.7233302,00:00:54.9180640
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:17:43,00:00:00.8074160,00:00:55.7254800
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:17:43,00:00:04.7471738,00:01:00.4726538
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:17:48,00:00:01.2855924,00:01:01.7582462
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:17:49,00:00:02.6071247,00:01:04.3653709
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Feargrimace,11:17:52,00:00:00.6468848,00:01:05.0122557
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:17:53,00:00:00.7875804,00:01:05.7998361
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:17:53,00:00:02.9382438,00:01:08.7380799
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:17:56,00:00:00.6770098,00:01:09.4150897
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Feargrimace,11:17:57,00:00:00.4219066,00:01:09.8369963
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:17:58,00:00:02.2592072,00:01:12.0962035
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:18:00,00:00:00.6414269,00:01:12.7376304
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Feargrimace,11:18:00,00:00:00.5149655,00:01:13.2525959
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:18:01,00:00:04.1902131,00:01:17.4428090
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Feargrimace,11:18:05,00:00:03.9288746,00:01:21.3716836
BNP,R09013,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:18:09,00:00:23.0197880,00:01:44.3914716
