Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R13039
Obs Site:,Other Site
Obs Type:,Reliability
Housing:,Pair
Room/Cage:,Ab140c2
Behavior Date:,2021-5-12
Behavior Time:,10:39 AM
Ethogram:,2021 bass.csv
Coding Began:,05/12/2021 10:41:24 AM
Coding Ended:,05/12/2021 10:46:28 AM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R13039,Pair,Ab140c2,2021-5-12,1.0.46.0,Inactive,10:41:24,00:05:01.8634526,00:05:01.8634526

BehavCode, Occurrences, totalTime
Inactive,1,00:05:01.8634526
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
