Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R13062
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab119c20
Behavior Date:,2021-5-17
Behavior Time:,10:47 AM
Ethogram:,2021 bass.csv
Coding Began:,05/17/2021 10:48:34 AM
Coding Ended:,05/17/2021 10:53:47 AM
Session duration:,00:05:13
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Inactive,10:48:34,00:01:03.5344625,00:01:03.5344625
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Vocal,10:49:37,00:00:01.6718236,00:01:05.2062861
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Inactive,10:49:39,00:00:09.4265247,00:01:14.6328108
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Mantleshake,10:49:48,00:00:01.6605443,00:01:16.2933551
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Inactive,10:49:50,00:00:12.8275453,00:01:29.1209004
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Groom,10:50:03,00:00:03.6032654,00:01:32.7241658
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Vocal,10:50:07,00:00:06.4362757,00:01:39.1604415
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Eat/drink,10:50:13,00:00:04.5660227,00:01:43.7264642
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Inactive,10:50:18,00:00:09.7158114,00:01:53.4422756
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Scratch,10:50:27,00:00:01.5935100,00:01:55.0357856
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Vocal,10:50:29,00:00:05.4332406,00:02:00.4690262
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Inactive,10:50:34,00:00:03.2513563,00:02:03.7203825
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Mantleshake,10:50:38,00:00:01.4568986,00:02:05.1772811
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Inactive,10:50:39,00:02:27.3306846,00:04:32.5079657
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,SocGroom,10:53:06,00:00:13.0364122,00:04:45.5443779
BNP,R13062,Pair,Ab119c20,2021-5-17,1.0.46.0,Inactive,10:53:19,00:00:26.9820595,00:05:12.5264374

BehavCode, Occurrences, totalTime
Inactive,7,00:04:33.0684443
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,1,00:00:04.5660227
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:01.5935100
Groom,1,00:00:03.6032654
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:00:13.0364122
Headtoss,0,00:00:00
Mantleshake,2,00:00:03.1174429
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,3,00:00:13.5413399
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
