Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R16068
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab119c15
Behavior Date:,2021-5-17
Behavior Time:,10:53 AM
Ethogram:,2021 bass.csv
Coding Began:,05/17/2021 10:55:16 AM
Coding Ended:,05/17/2021 11:00:18 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R16068,Group,Ab119c15,2021-5-17,1.0.46.0,Social/play,10:55:16,00:00:04.9353630,00:00:04.9353630
BNP,R16068,Group,Ab119c15,2021-5-17,1.0.46.0,Scratch,10:55:21,00:00:03.5335608,00:00:08.4689238
BNP,R16068,Group,Ab119c15,2021-5-17,1.0.46.0,Inactive,10:55:25,00:00:06.4080523,00:00:14.8769761
BNP,R16068,Group,Ab119c15,2021-5-17,1.0.46.0,Social/play,10:55:31,00:00:04.9839974,00:00:19.8609735
BNP,R16068,Group,Ab119c15,2021-5-17,1.0.46.0,Scratch,10:55:36,00:00:03.5425709,00:00:23.4035444
BNP,R16068,Group,Ab119c15,2021-5-17,1.0.46.0,Inactive,10:55:40,00:00:02.5706834,00:00:25.9742278
BNP,R16068,Group,Ab119c15,2021-5-17,1.0.46.0,SocGroom,10:55:42,00:01:00.5833259,00:01:26.5575537
BNP,R16068,Group,Ab119c15,2021-5-17,1.0.46.0,Scratch,10:56:43,00:00:04.8666662,00:01:31.4242199
BNP,R16068,Group,Ab119c15,2021-5-17,1.0.46.0,SocGroom,10:56:48,00:01:00.4902045,00:02:31.9144244
BNP,R16068,Group,Ab119c15,2021-5-17,1.0.46.0,Vocal,10:57:48,00:00:03.4266178,00:02:35.3410422
BNP,R16068,Group,Ab119c15,2021-5-17,1.0.46.0,SocGroom,10:57:52,00:02:25.0770015,00:05:00.4180437

BehavCode, Occurrences, totalTime
Inactive,2,00:00:08.9787357
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,3,00:00:11.9427979
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,3,00:04:26.1505319
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,2,00:00:09.9193604
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:03.4266178
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
