Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R17073
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab120c5
Behavior Date:,2021-6-11
Behavior Time:,11:42 AM
Ethogram:,2021 bass.csv
Coding Began:,06/11/2021 11:43:49 AM
Coding Ended:,06/11/2021 11:48:52 AM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R17073,Pair,Ab120c5,2021-6-11,1.0.46.0,Inactive,11:43:49,00:00:43.2053439,00:00:43.2053439
BNP,R17073,Pair,Ab120c5,2021-6-11,1.0.46.0,Tactile/explore,11:44:32,00:00:10.7923022,00:00:53.9976461
BNP,R17073,Pair,Ab120c5,2021-6-11,1.0.46.0,Inactive,11:44:43,00:00:09.5315697,00:01:03.5292158
BNP,R17073,Pair,Ab120c5,2021-6-11,1.0.46.0,Threat/display,11:44:53,00:00:03.3903686,00:01:06.9195844
BNP,R17073,Pair,Ab120c5,2021-6-11,1.0.46.0,Inactive,11:44:56,00:00:12.4588883,00:01:19.3784727
BNP,R17073,Pair,Ab120c5,2021-6-11,1.0.46.0,Tactile/explore,11:45:09,00:00:26.7039888,00:01:46.0824615
BNP,R17073,Pair,Ab120c5,2021-6-11,1.0.46.0,Inactive,11:45:35,00:01:20.6336599,00:03:06.7161214
BNP,R17073,Pair,Ab120c5,2021-6-11,1.0.46.0,Tactile/explore,11:46:56,00:00:47.2212285,00:03:53.9373499
BNP,R17073,Pair,Ab120c5,2021-6-11,1.0.46.0,Locomotion,11:47:43,00:00:07.9062215,00:04:01.8435714
BNP,R17073,Pair,Ab120c5,2021-6-11,1.0.46.0,Inactive,11:47:51,00:00:05.7496691,00:04:07.5932405
BNP,R17073,Pair,Ab120c5,2021-6-11,1.0.46.0,Tactile/explore,11:47:57,00:00:54.6807476,00:05:02.2739881

BehavCode, Occurrences, totalTime
Inactive,5,00:02:31.5791309
Threat/display,1,00:00:03.3903686
Sex/self/other,0,00:00:00
Locomotion,1,00:00:07.9062215
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,4,00:02:19.3982671
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
