Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,R19004
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh2c4
Behavior Date:,2021-6-10
Behavior Time:,02:26 PM
Ethogram:,2021 bass.csv
Coding Began:,06/10/2021 14:27:30 PM
Coding Ended:,06/10/2021 14:32:33 PM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:27:30,00:00:03.9818966,00:00:03.9818966
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Vocal,02:27:34,00:00:01.3391133,00:00:05.3210099
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:27:35,00:00:19.2628887,00:00:24.5838986
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Vocal,02:27:54,00:00:01.4536041,00:00:26.0375027
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:27:56,00:00:14.8281453,00:00:40.8656480
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Vocal,02:28:11,00:00:01.3415508,00:00:42.2071988
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:28:12,00:00:17.3249022,00:00:59.5321010
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Vocal,02:28:29,00:00:01.5456671,00:01:01.0777681
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:28:31,00:00:16.2550029,00:01:17.3327710
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Vocal,02:28:47,00:00:01.9844281,00:01:19.3171991
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:28:49,00:00:40.4540327,00:01:59.7712318
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Vocal,02:29:30,00:00:01.6697189,00:02:01.4409507
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:29:31,00:00:11.6528463,00:02:13.0937970
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Vocal,02:29:43,00:00:01.5763116,00:02:14.6701086
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:29:45,00:00:00.8488188,00:02:15.5189274
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Locomotion,02:29:45,00:00:03.0138334,00:02:18.5327608
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:29:48,00:00:02.4694774,00:02:21.0022382
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Vocal,02:29:51,00:00:01.7854101,00:02:22.7876483
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:29:53,00:00:04.8935617,00:02:27.6812100
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Vocal,02:29:58,00:00:01.3609435,00:02:29.0421535
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:29:59,00:00:00.9489971,00:02:29.9911506
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Locomotion,02:30:00,00:00:02.4271652,00:02:32.4183158
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Inactive,02:30:02,00:00:11.0590062,00:02:43.4773220
Js,R19004,Pair,bmqh2c4,2021-6-10,1.0.46.0,Locomotion,02:30:13,00:00:01.5712755,00:02:45.0485975
