Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,R19005
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Group
Room/Cage:,
Behavior Date:,2021-6-9
Behavior Time:,01:33 PM
Ethogram:,2021 bass.csv
Coding Began:,06/09/2021 13:36:52 PM
Coding Ended:,06/09/2021 13:41:55 PM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R19005,Group,,2021-6-9,1.0.46.0,Eat/drink,01:36:52,00:00:03.3383368,00:00:03.3383368
Js,R19005,Group,,2021-6-9,1.0.46.0,Tactile/explore,01:36:55,00:00:10.3598641,00:00:13.6982009
Js,R19005,Group,,2021-6-9,1.0.46.0,Locomotion,01:37:05,00:00:04.0522404,00:00:17.7504413
Js,R19005,Group,,2021-6-9,1.0.46.0,Eat/drink,01:37:09,00:00:03.2554221,00:00:21.0058634
Js,R19005,Group,,2021-6-9,1.0.46.0,Locomotion,01:37:13,00:00:02.5382833,00:00:23.5441467
Js,R19005,Group,,2021-6-9,1.0.46.0,Eat/drink,01:37:15,00:00:03.5237275,00:00:27.0678742
Js,R19005,Group,,2021-6-9,1.0.46.0,Locomotion,01:37:19,00:00:06.4483191,00:00:33.5161933
Js,R19005,Group,,2021-6-9,1.0.46.0,Eat/drink,01:37:25,00:00:13.9737102,00:00:47.4899035
Js,R19005,Group,,2021-6-9,1.0.46.0,Inactive,01:37:39,00:00:02.3698885,00:00:49.8597920
Js,R19005,Group,,2021-6-9,1.0.46.0,Locomotion,01:37:42,00:00:02.8090066,00:00:52.6687986
Js,R19005,Group,,2021-6-9,1.0.46.0,Inactive,01:37:44,00:00:01.6259658,00:00:54.2947644
Js,R19005,Group,,2021-6-9,1.0.46.0,Locomotion,01:37:46,00:00:02.9612496,00:00:57.2560140
Js,R19005,Group,,2021-6-9,1.0.46.0,Eat/drink,01:37:49,00:00:03.7686645,00:01:01.0246785
Js,R19005,Group,,2021-6-9,1.0.46.0,Inactive,01:37:53,00:00:05.8351093,00:01:06.8597878
Js,R19005,Group,,2021-6-9,1.0.46.0,Eat/drink,01:37:59,00:00:03.5900246,00:01:10.4498124
Js,R19005,Group,,2021-6-9,1.0.46.0,Inactive,01:38:02,00:00:05.2536246,00:01:15.7034370
