Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,R19008
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh2c25
Behavior Date:,2021-5-20
Behavior Time:,01:02 PM
Ethogram:,2021 bass.csv
Coding Began:,05/20/2021 13:03:29 PM
Coding Ended:,05/20/2021 13:08:49 PM
Session duration:,00:05:20
App Version:,1.0.46.0
Notes:,Other=self grasp

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Locomotion,01:03:29,00:00:06.4309618,00:00:06.4309618
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Pacing,01:03:36,00:00:09.5114337,00:00:15.9423955
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Locomotion,01:03:45,00:00:04.1160029,00:00:20.0583984
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Tactile/explore,01:03:49,00:00:04.6144375,00:00:24.6728359
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Eat/drink,01:03:54,00:00:06.0933687,00:00:30.7662046
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Tactile/explore,01:04:00,00:00:03.3392709,00:00:34.1054755
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Eat/drink,01:04:03,00:00:12.9570220,00:00:47.0624975
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Tactile/explore,01:04:16,00:00:14.5894126,00:01:01.6519101
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Tactile/explore,01:04:31,00:00:09.0096686,00:01:10.6615787
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Vocal,01:04:40,00:00:02.0711983,00:01:12.7327770
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Inactive,01:04:42,00:00:02.9606892,00:01:15.6934662
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Scratch,01:04:45,00:00:04.8429266,00:01:20.5363928
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Tactile/explore,01:04:50,00:00:04.2162754,00:01:24.7526682
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Eat/drink,01:04:54,00:00:01.7770445,00:01:26.5297127
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Locomotion,01:04:56,00:00:08.8627698,00:01:35.3924825
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Inactive,01:05:05,00:00:03.2330893,00:01:38.6255718
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Other,01:05:08,00:00:08.1914342,00:01:46.8170060
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Inactive,01:05:16,00:00:04.4638784,00:01:51.2808844
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Threat/display,01:05:20,00:00:02.9092360,00:01:54.1901204
Js,R19008,Pair,bmqh2c25,2021-5-20,1.0.46.0,Vocal,01:05:23,00:00:00.8809824,00:01:55.0711028
