Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,R19021
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh1c19
Behavior Date:,2021-5-12
Behavior Time:,11:07 AM
Ethogram:,2021 bass.csv
Coding Began:,05/12/2021 11:08:14 AM
Coding Ended:,05/12/2021 11:13:19 AM
Session duration:,00:05:05
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:08:14,00:00:02.2572232,00:00:02.2572232
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Locomotion,11:08:16,00:00:01.6133926,00:00:03.8706158
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:08:18,00:00:02.4974649,00:00:06.3680807
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Scratch,11:08:20,00:00:03.0416823,00:00:09.4097630
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:08:23,00:00:02.8489591,00:00:12.2587221
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Scratch,11:08:26,00:00:03.1934613,00:00:15.4521834
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Selfdirect,11:08:29,00:00:04.5296292,00:00:19.9818126
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Tactile/explore,11:08:34,00:00:01.9582483,00:00:21.9400609
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Threat/display,11:08:36,00:00:01.9304539,00:00:23.8705148
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:08:38,00:00:04.8873250,00:00:28.7578398
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Eat/drink,11:08:43,00:00:08.5834514,00:00:37.3412912
Js,R19021,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:08:51,00:00:03.5111462,00:00:40.8524374
