Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,R19057
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh1c29
Behavior Date:,2021-5-21
Behavior Time:,11:56 AM
Ethogram:,2021 bass.csv
Coding Began:,05/21/2021 11:57:57 AM
Coding Ended:,05/21/2021 12:03:01 PM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,SocGroom,11:57:57,00:00:03.8298607,00:00:03.8298607
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Scratch,11:58:01,00:00:02.2068512,00:00:06.0367119
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,SocGroom,11:58:03,00:00:38.7656173,00:00:44.8023292
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Scratch,11:58:42,00:00:03.4247048,00:00:48.2270340
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,SocGroom,11:58:46,00:00:04.4749679,00:00:52.7020019
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Inactive,11:58:50,00:00:04.4498027,00:00:57.1518046
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Locomotion,11:58:55,00:00:03.5685915,00:01:00.7203961
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,SocGroom,11:58:58,00:00:01.9586254,00:01:02.6790215
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Locomotion,11:59:00,00:00:02.0775745,00:01:04.7565960
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Sex/self/other,11:59:02,00:00:02.8884864,00:01:07.6450824
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Locomotion,11:59:05,00:00:03.2207147,00:01:10.8657971
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Threat/display,11:59:08,00:00:03.1104633,00:01:13.9762604
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,SocGroom,11:59:11,00:00:44.2534848,00:01:58.2297452
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Locomotion,11:59:56,00:00:01.6830902,00:01:59.9128354
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Inactive,11:59:57,00:00:03.3572136,00:02:03.2700490
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,SocGroom,12:00:01,00:00:25.8550581,00:02:29.1251071
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Locomotion,12:00:27,00:00:02.4413122,00:02:31.5664193
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,SocGroom,12:00:29,00:00:06.2241463,00:02:37.7905656
Js,R19057,Pair,bmqh1c29,2021-5-21,1.0.46.0,Locomotion,12:00:35,00:00:03.5309716,00:02:41.3215372
