Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,R19114
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh1c27
Behavior Date:,2021-5-26
Behavior Time:,01:21 PM
Ethogram:,2021 bass.csv
Coding Began:,05/26/2021 13:22:41 PM
Coding Ended:,05/26/2021 13:28:03 PM
Session duration:,00:05:21
App Version:,1.0.46.0
Notes:,Cling to partner

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Eat/drink,01:22:41,00:00:02.6925688,00:00:02.6925688
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Vocal,01:22:44,00:00:01.9012278,00:00:04.5937966
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Eat/drink,01:22:46,00:00:02.2058377,00:00:06.7996343
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:22:48,00:00:02.5998264,00:00:09.3994607
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Eat/drink,01:22:51,00:00:05.9565422,00:00:15.3560029
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:22:57,00:00:01.7393716,00:00:17.0953745
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Locomotion,01:22:59,00:00:02.5408262,00:00:19.6362007
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:23:01,00:00:18.6707668,00:00:38.3069675
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Pacing,01:23:20,00:00:27.8797007,00:01:06.1866682
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:23:48,00:00:03.6180958,00:01:09.8047640
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Locomotion,01:23:51,00:00:01.7968444,00:01:11.6016084
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:23:53,00:00:07.1902203,00:01:18.7918287
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Vocal,01:24:00,00:00:01.2932625,00:01:20.0850912
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:24:02,00:00:04.5663348,00:01:24.6514260
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Vocal,01:24:06,00:00:01.2272110,00:01:25.8786370
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:24:07,00:00:11.3648084,00:01:37.2434454
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Locomotion,01:24:19,00:00:06.4048550,00:01:43.6483004
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Vocal,01:24:25,00:00:01.1884725,00:01:44.8367729
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:24:26,00:00:01.6760789,00:01:46.5128518
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Vocal,01:24:28,00:00:02.8201350,00:01:49.3329868
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Groom,01:24:31,00:00:02.9754017,00:01:52.3083885
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Vocal,01:24:34,00:00:02.3353871,00:01:54.6437756
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:24:36,00:00:01.8961782,00:01:56.5399538
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Locomotion,01:24:38,00:00:04.4155560,00:02:00.9555098
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:24:42,00:00:11.4828987,00:02:12.4384085
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Tactile/explore,01:24:54,00:00:03.2962548,00:02:15.7346633
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:24:57,00:00:02.3589837,00:02:18.0936470
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Tactile/explore,01:25:00,00:00:03.4290205,00:02:21.5226675
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:25:03,00:00:10.0606690,00:02:31.5833365
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Vocal,01:25:13,00:00:00.7267071,00:02:32.3100436
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:25:14,00:00:00.2649357,00:02:32.5749793
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:25:14,00:00:09.4435634,00:02:42.0185427
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Threat/display,01:25:23,00:00:01.9345500,00:02:43.9530927
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:25:25,00:00:02.5903163,00:02:46.5434090
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Vocal,01:25:28,00:00:01.2258460,00:02:47.7692550
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:25:29,00:00:16.7810743,00:03:04.5503293
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Locomotion,01:25:46,00:00:01.2452083,00:03:05.7955376
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:25:47,00:00:14.6081198,00:03:20.4036574
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Cling,01:26:02,00:01:35.9527618,00:04:56.3564192
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:27:38,00:00:04.4643893,00:05:00.8208085
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Vocal,01:27:42,00:00:01.7886119,00:05:02.6094204
Js,R19114,Pair,bmqh1c27,2021-5-26,1.0.46.0,Inactive,01:27:44,00:00:03.4264036,00:05:06.0358240

BehavCode, Occurrences, totalTime
Inactive,19,00:02:08.8030350
Threat/display,1,00:00:01.9345500
Sex/self/other,0,00:00:00
Locomotion,5,00:00:16.4032899
Aggression,0,00:00:00
Eat/drink,3,00:00:10.8549487
Pacing,1,00:00:27.8797007
Present,0,00:00:00
Tactile/explore,2,00:00:06.7252753
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,1,00:00:02.9754017
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,9,00:00:14.5068609
Cling,1,00:01:35.9527618
Selfbite,0,00:00:00
Other,0,00:00:00
