Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R21011
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab126c1
Behavior Date:,2021-6-15
Behavior Time:,11:48 AM
Ethogram:,2021 bass.csv
Coding Began:,06/15/2021 11:48:57 AM
Coding Ended:,06/15/2021 11:53:58 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Tactile/explore,11:48:57,00:00:54.3831448,00:00:54.3831448
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Locomotion,11:49:51,00:00:13.5050750,00:01:07.8882198
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Tactile/explore,11:50:05,00:00:25.6974393,00:01:33.5856591
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Social/play,11:50:30,00:00:08.7042989,00:01:42.2899580
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Locomotion,11:50:39,00:00:09.2072234,00:01:51.4971814
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Tactile/explore,11:50:48,00:00:06.0340469,00:01:57.5312283
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Locomotion,11:50:54,00:00:12.7445831,00:02:10.2758114
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Social/play,11:51:07,00:00:11.7323324,00:02:22.0081438
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Locomotion,11:51:19,00:00:01.2633375,00:02:23.2714813
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Social/play,11:51:20,00:00:05.2767452,00:02:28.5482265
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Selfdirect,11:51:25,00:00:05.8186554,00:02:34.3668819
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Locomotion,11:51:31,00:00:09.5533752,00:02:43.9202571
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Social/play,11:51:41,00:00:29.3184275,00:03:13.2386846
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Locomotion,11:52:10,00:00:04.2790514,00:03:17.5177360
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Tactile/explore,11:52:14,00:00:31.8335728,00:03:49.3513088
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Social/play,11:52:46,00:00:31.2304135,00:04:20.5817223
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Selfdirect,11:53:17,00:00:13.5896329,00:04:34.1713552
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Locomotion,11:53:31,00:00:06.9773455,00:04:41.1487007
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Social/play,11:53:38,00:00:02.6769921,00:04:43.8256928
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Locomotion,11:53:41,00:00:04.8352184,00:04:48.6609112
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Tactile/explore,11:53:46,00:00:02.6591433,00:04:51.3200545
BNP,R21011,Group,Ab126c1,2021-6-15,1.0.46.0,Locomotion,11:53:48,00:00:08.8777798,00:05:00.1978343

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,9,00:01:11.2429893
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,5,00:02:00.6073471
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,6,00:01:28.9392096
Salute,0,00:00:00
Selfdirect,2,00:00:19.4082883
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
