Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,Rh2138
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,ab108c37
Behavior Date:,2021-6-23
Behavior Time:,11:56 AM
Ethogram:,2021 bass.csv
Coding Began:,06/23/2021 11:58:11 AM
Coding Ended:,06/23/2021 12:03:15 PM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Rh2138,Pair,ab108c37,2021-6-23,1.0.46.0,Inactive,11:58:11,00:03:04.4683384,00:03:04.4683384
Js,Rh2138,Pair,ab108c37,2021-6-23,1.0.46.0,Locomotion,12:01:15,00:00:02.5631237,00:03:07.0314621
Js,Rh2138,Pair,ab108c37,2021-6-23,1.0.46.0,Inactive,12:01:18,00:00:10.8557168,00:03:17.8871789
Js,Rh2138,Pair,ab108c37,2021-6-23,1.0.46.0,Eat/drink,12:01:29,00:01:09.3980494,00:04:27.2852283
Js,Rh2138,Pair,ab108c37,2021-6-23,1.0.46.0,Inactive,12:02:38,00:00:05.4752619,00:04:32.7604902
Js,Rh2138,Pair,ab108c37,2021-6-23,1.0.46.0,Locomotion,12:02:44,00:00:03.8026721,00:04:36.5631623
Js,Rh2138,Pair,ab108c37,2021-6-23,1.0.46.0,Inactive,12:02:48,00:00:04.8794444,00:04:41.4426067
Js,Rh2138,Pair,ab108c37,2021-6-23,1.0.46.0,Tactile/explore,12:02:52,00:00:19.9100637,00:05:01.3526704

BehavCode, Occurrences, totalTime
Inactive,4,00:03:25.6787615
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:06.3657958
Aggression,0,00:00:00
Eat/drink,1,00:01:09.3980494
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,1,00:00:19.9100637
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
