Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2514
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab144c9
Behavior Date:,2021-6-21
Behavior Time:,11:58 AM
Ethogram:,2021 bass.csv
Coding Began:,06/21/2021 11:59:26 AM
Coding Ended:,06/21/2021 12:04:28 PM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2514,Pair,Ab144c9,2021-6-21,1.0.46.0,Inactive,11:59:26,00:01:41.0552793,00:01:41.0552793
BNP,Rh2514,Pair,Ab144c9,2021-6-21,1.0.46.0,Locomotion,12:01:07,00:00:09.4019435,00:01:50.4572228
BNP,Rh2514,Pair,Ab144c9,2021-6-21,1.0.46.0,Social/play,12:01:17,00:00:29.2992473,00:02:19.7564701
BNP,Rh2514,Pair,Ab144c9,2021-6-21,1.0.46.0,Locomotion,12:01:46,00:00:04.1315399,00:02:23.8880100
BNP,Rh2514,Pair,Ab144c9,2021-6-21,1.0.46.0,Inactive,12:01:50,00:02:36.5315675,00:05:00.4195775

BehavCode, Occurrences, totalTime
Inactive,2,00:04:17.5868468
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:13.5334834
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:00:29.2992473
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
