Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,BNP,,,,,,,,
Study Code:,Bass2021,,,,,,,,
Indiv ID:,Rh2538,,,,,,,,
Obs Site:,Other Site,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Group,,,,,,,,
Room/Cage:,Ab142c11,,,,,,,,
Behavior Date:,5/4/21,,,,,,,,
Behavior Time:,3:03 PM,,,,,,,,
Ethogram:,2021 bass.csv,,,,,,,,
Coding Began:,05/04/2021 15:04:21 PM,,,,,,,,
Coding Ended:,05/04/2021 15:09:22 PM,,,,,,,,
Session duration:,0:05:00,,,,,,,,
App Version:,1.0.44.0,,,,,,,,
Notes:,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Inactive,3:04:21,00:24.6,00:24.6
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Social/play,3:04:46,00:33.8,00:58.4
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Inactive,3:05:20,00:24.4,01:22.9
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Locomotion,3:05:44,00:04.5,01:27.3
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Inactive,3:05:49,00:59.2,02:26.6
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Vocal,3:06:48,00:00.8,02:27.3
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Inactive,3:06:49,00:13.3,02:40.6
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Threat/display,3:07:02,00:03.1,02:43.7
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Locomotion,3:07:05,00:02.4,02:46.0
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,FearGrimace,3:07:07,00:09.4,02:55.4
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Inactive,3:07:17,00:11.4,03:06.7
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Locomotion,3:07:28,00:01.7,03:08.4
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,FearGrimace,3:07:30,00:04.6,03:13.0
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Inactive,3:07:34,00:06.1,03:19.1
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,FearGrimace,3:07:40,00:04.0,03:23.1
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Inactive,3:07:44,00:03.2,03:26.3
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Locomotion,3:07:48,00:05.8,03:32.2
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Inactive,3:07:53,00:21.2,03:53.3
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Mantleshake,3:08:15,00:02.4,03:55.7
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Eat/drink,3:08:17,00:01.9,03:57.6
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Inactive,3:08:19,00:36.7,04:34.3
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Vocal,3:08:56,00:01.1,04:35.4
BNP,Rh2538,Group,Ab142c11,5/4/21,1.0.44.0,Inactive,3:08:57,00:24.5,04:59.8
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,10,03:44.6,,,,,,,
Threat/display,1,00:03.1,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,4,00:14.3,,,,,,,
Aggression,0,0:00:00,,,,,,,
Eat/drink,1,00:01.9,,,,,,,
Pacing,0,0:00:00,,,,,,,
Present,0,0:00:00,,,,,,,
Tactile/explore,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
FearGrimace,3,00:17.9,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Scratch,0,0:00:00,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
SocGroom,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Mantleshake,1,00:02.4,,,,,,,
Social/play,1,00:33.8,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,2,00:01.9,,,,,,,
Cling,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
