Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2551
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab144c15
Behavior Date:,2021-6-21
Behavior Time:,12:28 PM
Ethogram:,2021 bass.csv
Coding Began:,06/21/2021 12:28:53 PM
Coding Ended:,06/21/2021 12:33:54 PM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Inactive,12:28:53,00:00:02.5553885,00:00:02.5553885
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Locomotion,12:28:55,00:00:05.3769315,00:00:07.9323200
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Pacing,12:29:00,00:02:58.9639768,00:03:06.8962968
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Inactive,12:31:59,00:00:09.3726463,00:03:16.2689431
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Locomotion,12:32:09,00:00:06.0463147,00:03:22.3152578
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Pacing,12:32:15,00:00:06.2695261,00:03:28.5847839
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Inactive,12:32:21,00:00:03.2370266,00:03:31.8218105
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Locomotion,12:32:24,00:00:14.9240836,00:03:46.7458941
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Pacing,12:32:39,00:00:03.5448630,00:03:50.2907571
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Inactive,12:32:43,00:00:02.6053164,00:03:52.8960735
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Locomotion,12:32:45,00:00:06.9015393,00:03:59.7976128
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Pacing,12:32:52,00:00:11.7857012,00:04:11.5833140
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Inactive,12:33:04,00:00:03.8895559,00:04:15.4728699
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Locomotion,12:33:08,00:00:04.8789942,00:04:20.3518641
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Pacing,12:33:13,00:00:09.3666258,00:04:29.7184899
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Inactive,12:33:22,00:00:15.4305972,00:04:45.1490871
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Locomotion,12:33:38,00:00:02.7459503,00:04:47.8950374
BNP,Rh2551,Pair,Ab144c15,2021-6-21,1.0.46.0,Inactive,12:33:40,00:00:12.5812005,00:05:00.4762379

BehavCode, Occurrences, totalTime
Inactive,7,00:00:49.6717314
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,6,00:00:40.8738136
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,5,00:03:29.9306929
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
