Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2758
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab119c49
Behavior Date:,2021-6-14
Behavior Time:,11:06 AM
Ethogram:,2021 bass.csv
Coding Began:,06/14/2021 11:07:58 AM
Coding Ended:,06/14/2021 11:12:59 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Inactive,11:07:58,00:00:07.9880288,00:00:07.9880288
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Social/play,11:08:06,00:00:08.3993082,00:00:16.3873370
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Locomotion,11:08:14,00:00:02.9247394,00:00:19.3120764
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Social/play,11:08:17,00:00:38.3757768,00:00:57.6878532
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Yawn,11:08:55,00:00:02.0937195,00:00:59.7815727
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Social/play,11:08:57,00:00:09.3614802,00:01:09.1430529
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Yawn,11:09:07,00:00:02.2307555,00:01:11.3738084
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Social/play,11:09:09,00:00:47.5105159,00:01:58.8843243
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Yawn,11:09:57,00:00:02.3683860,00:02:01.2527103
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Social/play,11:09:59,00:00:26.3773840,00:02:27.6300943
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Locomotion,11:10:25,00:00:02.9266765,00:02:30.5567708
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Inactive,11:10:28,00:00:04.5614700,00:02:35.1182408
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Lipsmack,11:10:33,00:00:03.3728612,00:02:38.4911020
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Inactive,11:10:36,00:00:04.3617276,00:02:42.8528296
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Locomotion,11:10:41,00:00:04.0486750,00:02:46.9015046
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Yawn,11:10:45,00:00:03.2663733,00:02:50.1678779
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Inactive,11:10:48,00:00:04.8916695,00:02:55.0595474
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Threat/display,11:10:53,00:00:05.5281029,00:03:00.5876503
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Social/play,11:10:58,00:01:01.1565275,00:04:01.7441778
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Inactive,11:11:59,00:00:19.6195951,00:04:21.3637729
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Mantleshake,11:12:19,00:00:01.5533339,00:04:22.9171068
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Inactive,11:12:21,00:00:26.1898803,00:04:49.1069871
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Locomotion,11:12:47,00:00:02.9416516,00:04:52.0486387
BNP,Rh2758,Group,Ab119c49,2021-6-14,1.0.46.0,Inactive,11:12:50,00:00:08.2782179,00:05:00.3268566

BehavCode, Occurrences, totalTime
Inactive,7,00:01:15.8905892
Threat/display,1,00:00:05.5281029
Sex/self/other,0,00:00:00
Locomotion,4,00:00:12.8417425
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,1,00:00:03.3728612
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,4,00:00:09.9592343
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,1,00:00:01.5533339
Social/play,6,00:03:11.1809926
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
