Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2801
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab163c13
Behavior Date:,2021-6-22
Behavior Time:,01:08 PM
Ethogram:,2021 bass.csv
Coding Began:,06/22/2021 13:09:43 PM
Coding Ended:,06/22/2021 13:14:44 PM
Session duration:,00:05:00
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2801,Pair,Ab163c13,2021-6-22,1.0.46.0,Inactive,01:09:43,00:00:38.7902638,00:00:38.7902638
BNP,Rh2801,Pair,Ab163c13,2021-6-22,1.0.46.0,Scratch,01:10:21,00:00:04.6928201,00:00:43.4830839
BNP,Rh2801,Pair,Ab163c13,2021-6-22,1.0.46.0,Inactive,01:10:26,00:01:49.0265103,00:02:32.5095942
BNP,Rh2801,Pair,Ab163c13,2021-6-22,1.0.46.0,Threat/display,01:12:15,00:00:16.9697235,00:02:49.4793177
BNP,Rh2801,Pair,Ab163c13,2021-6-22,1.0.46.0,Locomotion,01:12:32,00:00:02.3949723,00:02:51.8742900
BNP,Rh2801,Pair,Ab163c13,2021-6-22,1.0.46.0,Threat/display,01:12:35,00:00:11.8912235,00:03:03.7655135
BNP,Rh2801,Pair,Ab163c13,2021-6-22,1.0.46.0,Lipsmack,01:12:46,00:00:05.1888210,00:03:08.9543345
BNP,Rh2801,Pair,Ab163c13,2021-6-22,1.0.46.0,Present,01:12:52,00:00:03.0270906,00:03:11.9814251
BNP,Rh2801,Pair,Ab163c13,2021-6-22,1.0.46.0,Inactive,01:12:55,00:01:48.0651897,00:05:00.0466148

BehavCode, Occurrences, totalTime
Inactive,3,00:04:15.8819638
Threat/display,2,00:00:28.8609470
Sex/self/other,0,00:00:00
Locomotion,1,00:00:02.3949723
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,1,00:00:03.0270906
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,1,00:00:05.1888210
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:04.6928201
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
