Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,Rh3031
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh1c23
Behavior Date:,2021-5-21
Behavior Time:,11:29 AM
Ethogram:,2021 bass.csv
Coding Began:,05/21/2021 11:30:28 AM
Coding Ended:,05/21/2021 11:35:33 AM
Session duration:,00:05:04
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Inactive,11:30:28,00:00:10.4721321,00:00:10.4721321
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Locomotion,11:30:38,00:00:01.8069393,00:00:12.2790714
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Inactive,11:30:40,00:00:13.0387780,00:00:25.3178494
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Locomotion,11:30:53,00:00:01.6440607,00:00:26.9619101
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Inactive,11:30:55,00:00:02.6833863,00:00:29.6452964
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Sex/self/other,11:30:57,00:00:02.6300320,00:00:32.2753284
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Locomotion,11:31:00,00:00:01.8986321,00:00:34.1739605
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Inactive,11:31:02,00:00:06.0820930,00:00:40.2560535
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Scratch,11:31:08,00:00:02.2207601,00:00:42.4768136
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Inactive,11:31:10,00:00:02.6528514,00:00:45.1296650
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Locomotion,11:31:13,00:00:03.2536055,00:00:48.3832705
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Present,11:31:16,00:00:01.7481722,00:00:50.1314427
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Sex/self/other,11:31:18,00:00:02.4098688,00:00:52.5413115
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Locomotion,11:31:20,00:00:04.8712965,00:00:57.4126080
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,SocGroom,11:31:25,00:01:14.9334279,00:02:12.3460359
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Inactive,11:32:40,00:00:24.4907685,00:02:36.8368044
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Scratch,11:33:05,00:00:01.9305396,00:02:38.7673440
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Inactive,11:33:07,00:00:08.6749132,00:02:47.4422572
Js,Rh3031,Pair,bmqh1c23,2021-5-21,1.0.46.0,Scratch,11:33:15,00:00:02.3209179,00:02:49.7631751
