Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,cy0698
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,mr1552c1
Behavior Date:,2021-5-21
Behavior Time:,09:49 AM
Ethogram:,2021 bass.csv
Coding Began:,05/21/2021 09:53:50 AM
Coding Ended:,05/21/2021 09:58:53 AM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0698,Pair,mr1552c1,2021-5-21,1.0.46.0,Inactive,09:53:50,00:00:31.8579050,00:00:31.8579050
ta,cy0698,Pair,mr1552c1,2021-5-21,1.0.46.0,Lipsmack,09:54:22,00:00:04.5302989,00:00:36.3882039
ta,cy0698,Pair,mr1552c1,2021-5-21,1.0.46.0,Inactive,09:54:26,00:01:57.4098707,00:02:33.7980746
ta,cy0698,Pair,mr1552c1,2021-5-21,1.0.46.0,Scratch,09:56:24,00:00:01.4666190,00:02:35.2646936
ta,cy0698,Pair,mr1552c1,2021-5-21,1.0.46.0,Inactive,09:56:25,00:00:49.1979524,00:03:24.4626460
ta,cy0698,Pair,mr1552c1,2021-5-21,1.0.46.0,Scratch,09:57:15,00:00:02.1362018,00:03:26.5988478
ta,cy0698,Pair,mr1552c1,2021-5-21,1.0.46.0,Inactive,09:57:17,00:00:37.2877948,00:04:03.8866426
ta,cy0698,Pair,mr1552c1,2021-5-21,1.0.46.0,Groom,09:57:54,00:00:31.9636945,00:04:35.8503371
ta,cy0698,Pair,mr1552c1,2021-5-21,1.0.46.0,Inactive,09:58:26,00:00:24.7121320,00:05:00.5624691
ta,cy0698,Pair,mr1552c1,2021-5-21,1.0.46.0,Mantleshake,09:58:51,00:00:00.8840861,00:05:01.4465552

BehavCode, Occurrences, totalTime
Inactive,5,00:04:20.4656549
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,1,00:00:04.5302989
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:03.6028208
Groom,1,00:00:31.9636945
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,1,00:00:00.8840861
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
