Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,cy0719
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a275c12
Behavior Date:,2021-5-25
Behavior Time:,11:17 AM
Ethogram:,2021 bass.csv
Coding Began:,05/25/2021 11:17:33 AM
Coding Ended:,05/25/2021 11:22:48 AM
Session duration:,00:05:15
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0719,Single,a275c12,2021-5-25,1.0.46.0,Inactive,11:17:33,00:01:40.2166828,00:01:40.2166828
ta,cy0719,Single,a275c12,2021-5-25,1.0.46.0,Locomotion,11:19:13,00:00:03.9100232,00:01:44.1267060
ta,cy0719,Single,a275c12,2021-5-25,1.0.46.0,Inactive,11:19:17,00:00:29.0653652,00:02:13.1920712
ta,cy0719,Single,a275c12,2021-5-25,1.0.46.0,Tactile/explore,11:19:46,00:00:04.6576920,00:02:17.8497632
ta,cy0719,Single,a275c12,2021-5-25,1.0.46.0,Locomotion,11:19:50,00:00:03.5056659,00:02:21.3554291
ta,cy0719,Single,a275c12,2021-5-25,1.0.46.0,Inactive,11:19:54,00:02:52.7783506,00:05:14.1337797

BehavCode, Occurrences, totalTime
Inactive,3,00:05:02.0603986
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:07.4156891
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,1,00:00:04.6576920
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
