Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,r12013
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,c428cc9
Behavior Date:,2021-5-10
Behavior Time:,12:17 PM
Ethogram:,2021 bass.csv
Coding Began:,05/10/2021 12:18:15 PM
Coding Ended:,05/10/2021 12:23:21 PM
Session duration:,00:05:05
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Inactive,12:18:15,00:02:34.8910067,00:02:34.8910067
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Groom,12:20:50,00:00:06.5442648,00:02:41.4352715
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Sex/self/other,12:20:57,00:00:39.4115481,00:03:20.8468196
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Scratch,12:21:36,00:00:02.4929410,00:03:23.3397606
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Yawn,12:21:38,00:00:05.9507255,00:03:29.2904861
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Scratch,12:21:44,00:00:15.5205607,00:03:44.8110468
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Mantleshake,12:22:00,00:00:05.3045295,00:03:50.1155763
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Scratch,12:22:05,00:00:03.6567734,00:03:53.7723497
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Groom,12:22:09,00:00:30.7054121,00:04:24.4777618
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Sex/self/other,12:22:40,00:00:05.2766766,00:04:29.7544384
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Yawn,12:22:45,00:00:02.8175600,00:04:32.5719984
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Sex/self/other,12:22:48,00:00:21.5668363,00:04:54.1388347
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Yawn,12:23:09,00:00:02.8290939,00:04:56.9679286
mr,r12013,Single,c428cc9,2021-5-10,1.0.46.0,Inactive,12:23:12,00:00:06.2826800,00:05:03.2506086

BehavCode, Occurrences, totalTime
Inactive,2,00:02:41.1736867
Threat/display,0,00:00:00
Sex/self/other,3,00:01:06.2550610
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,3,00:00:21.6702751
Groom,2,00:00:37.2496769
Rock,0,00:00:00
Yawn,3,00:00:11.5973794
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,1,00:00:05.3045295
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
