Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,r14050
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Group
Room/Cage:,c42029
Behavior Date:,2021-6-21
Behavior Time:,01:03 PM
Ethogram:,2021 bass.csv
Coding Began:,06/21/2021 13:04:00 PM
Coding Ended:,06/21/2021 13:09:20 PM
Session duration:,00:05:19
App Version:,1.0.46.0
Notes:,huddled and sleeping with r14077

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r14050,Group,c42029,2021-6-21,1.0.46.0,Social/play,01:04:00,00:05:00.9045799,00:05:00.9045799

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:05:00.9045799
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
