Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r16059
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a261c3
Behavior Date:,2021-5-3
Behavior Time:,11:17 AM
Ethogram:,2021 bass.csv
Coding Began:,05/03/2021 11:17:43 AM
Coding Ended:,05/03/2021 11:22:52 AM
Session duration:,00:05:09
App Version:,1.0.44.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Locomotion,11:17:43,00:00:04.6386373,00:00:04.6386373
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Pacing,11:17:48,00:00:20.7558535,00:00:25.3944908
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Threat/display,11:18:08,00:00:05.2753582,00:00:30.6698490
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Inactive,11:18:14,00:00:09.7451118,00:00:40.4149608
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Locomotion,11:18:23,00:00:08.3311587,00:00:48.7461195
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Pacing,11:18:32,00:00:08.5079558,00:00:57.2540753
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Scratch,11:18:40,00:00:09.1938971,00:01:06.4479724
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Inactive,11:18:49,00:00:21.9655811,00:01:28.4135535
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Groom,11:19:11,00:00:18.8300077,00:01:47.2435612
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Inactive,11:19:30,00:00:58.3190651,00:02:45.5626263
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Locomotion,11:20:29,00:00:06.4407985,00:02:52.0034248
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Pacing,11:20:35,00:01:07.3800314,00:03:59.3834562
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Threat/display,11:21:42,00:00:05.0414783,00:04:04.4249345
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Locomotion,11:21:47,00:00:05.1866271,00:04:09.6115616
ta,r16059,Single,a261c3,2021-5-3,1.0.44.0,Pacing,11:21:53,00:00:57.9593502,00:05:07.5709118

BehavCode, Occurrences, totalTime
Inactive,3,00:01:30.0297580
Threat/display,2,00:00:10.3168365
Sex/self/other,0,00:00:00
Locomotion,4,00:00:24.5972216
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,4,00:02:34.6031909
Present,0,00:00:00
Tactile/expl,0,00:00:00
Jumping,0,00:00:00
FearGrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:09.1938971
Groom,1,00:00:18.8300077
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
