Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,r17023
Obs Site:,Blank Park Zoo
Obs Type:,Reliability
Housing:,Single
Room/Cage:,cb30c23
Behavior Date:,2021-5-13
Behavior Time:,10:37 AM
Ethogram:,2021 bass.csv
Coding Began:,05/13/2021 10:39:39 AM
Coding Ended:,05/13/2021 10:44:44 AM
Session duration:,00:05:05
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Pacing,10:39:39,00:00:16.1307895,00:00:16.1307895
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Inactive,10:39:55,00:00:02.7677908,00:00:18.8985803
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Locomotion,10:39:58,00:00:06.3091154,00:00:25.2076957
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Pacing,10:40:04,00:01:00.9346561,00:01:26.1423518
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Inactive,10:41:05,00:00:05.7594037,00:01:31.9017555
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Locomotion,10:41:11,00:00:06.0546221,00:01:37.9563776
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Pacing,10:41:17,00:00:57.1650569,00:02:35.1214345
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Locomotion,10:42:14,00:00:19.5148357,00:02:54.6362702
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Tactile/explore,10:42:34,00:00:01.7162293,00:02:56.3524995
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Locomotion,10:42:35,00:00:04.0888135,00:03:00.4413130
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Pacing,10:42:39,00:00:05.5249316,00:03:05.9662446
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Inactive,10:42:45,00:00:03.2599164,00:03:09.2261610
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Locomotion,10:42:48,00:00:12.4442898,00:03:21.6704508
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Scratch,10:43:01,00:00:01.8439866,00:03:23.5144374
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Inactive,10:43:03,00:00:06.1119381,00:03:29.6263755
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Locomotion,10:43:09,00:00:04.1482876,00:03:33.7746631
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Inactive,10:43:13,00:00:01.7456845,00:03:35.5203476
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Scratch,10:43:15,00:00:02.0440355,00:03:37.5643831
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Locomotion,10:43:17,00:00:23.2381095,00:04:00.8024926
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Pacing,10:43:40,00:00:41.2341876,00:04:42.0366802
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Inactive,10:44:21,00:00:02.9884505,00:04:45.0251307
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Locomotion,10:44:24,00:00:08.6291411,00:04:53.6542718
mr,r17023,Single,cb30c23,2021-5-13,1.0.46.0,Inactive,10:44:33,00:00:08.3538657,00:05:02.0081375

BehavCode, Occurrences, totalTime
Inactive,7,00:00:30.9870497
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,8,00:01:24.4272147
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,5,00:03:00.9896217
Present,0,00:00:00
Tactile/explore,1,00:00:01.7162293
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:03.8880221
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
