Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r18044
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Group
Room/Cage:,a275c13
Behavior Date:,2021-5-25
Behavior Time:,11:22 AM
Ethogram:,2021 bass.csv
Coding Began:,05/25/2021 11:23:29 AM
Coding Ended:,05/25/2021 11:28:37 AM
Session duration:,00:05:07
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Eat/drink,11:23:29,00:01:02.4284255,00:01:02.4284255
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Locomotion,11:24:31,00:00:02.5387166,00:01:04.9671421
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Inactive,11:24:34,00:00:02.6559859,00:01:07.6231280
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Eat/drink,11:24:37,00:00:06.9733318,00:01:14.5964598
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Locomotion,11:24:44,00:00:09.5042750,00:01:24.1007348
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Eat/drink,11:24:53,00:00:13.2124054,00:01:37.3131402
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Locomotion,11:25:06,00:00:06.9766215,00:01:44.2897617
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Eat/drink,11:25:13,00:00:27.6052672,00:02:11.8950289
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Locomotion,11:25:41,00:00:03.0648504,00:02:14.9598793
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Present,11:25:44,00:00:02.6636178,00:02:17.6234971
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,SocGroom,11:25:47,00:02:19.9936659,00:04:37.6171630
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Locomotion,11:28:07,00:00:04.9670667,00:04:42.5842297
ta,r18044,Group,a275c13,2021-5-25,1.0.46.0,Inactive,11:28:12,00:00:24.0708829,00:05:06.6551126

BehavCode, Occurrences, totalTime
Inactive,2,00:00:26.7268688
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,5,00:00:27.0515302
Aggression,0,00:00:00
Eat/drink,4,00:01:50.2194299
Pacing,0,00:00:00
Present,1,00:00:02.6636178
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:02:19.9936659
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
