Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,rh1992
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,c327c16
Behavior Date:,2021-5-11
Behavior Time:,11:40 AM
Ethogram:,2021 bass.csv
Coding Began:,05/11/2021 11:41:33 AM
Coding Ended:,05/11/2021 11:47:20 AM
Session duration:,00:05:47
App Version:,1.0.46.0
Notes:,animal lives in pc; social/play and soc groom through pc panel

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Pacing,11:41:33,00:00:05.5957882,00:00:05.5957882
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Inactive,11:41:38,00:00:19.4100203,00:00:25.0058085
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Locomotion,11:41:58,00:00:04.7897961,00:00:29.7956046
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Pacing,11:42:02,00:00:07.7090874,00:00:37.5046920
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Inactive,11:42:10,00:00:44.5641101,00:01:22.0688021
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Social/play,11:42:55,00:00:05.9085077,00:01:27.9773098
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,SocGroom,11:43:01,00:00:07.3116272,00:01:35.2889370
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Inactive,11:43:08,00:00:17.0448114,00:01:52.3337484
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Tactile/explore,11:43:25,00:00:26.3782845,00:02:18.7120329
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Inactive,11:43:51,00:00:04.8406699,00:02:23.5527028
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Tactile/explore,11:43:56,00:00:10.0437240,00:02:33.5964268
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Inactive,11:44:06,00:00:18.7621742,00:02:52.3586010
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Locomotion,11:44:25,00:00:07.2688085,00:02:59.6274095
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Pacing,11:44:32,00:00:15.7979079,00:03:15.4253174
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Social/play,11:44:48,00:00:08.8896229,00:03:24.3149403
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Tactile/explore,11:44:57,00:00:03.6199568,00:03:27.9348971
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Social/play,11:45:01,00:00:05.5590084,00:03:33.4939055
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,SocGroom,11:45:06,00:00:23.5648846,00:03:57.0587901
mr,rh1992,Single,c327c16,2021-5-11,1.0.46.0,Inactive,11:45:30,00:01:04.5058810,00:05:01.5646711

BehavCode, Occurrences, totalTime
Inactive,6,00:02:49.1276669
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:12.0586046
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,3,00:00:29.1027835
Present,0,00:00:00
Tactile/explore,3,00:00:40.0419653
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,2,00:00:30.8765118
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,3,00:00:20.3571390
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
