Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,rh2562
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a275c11
Behavior Date:,2021-5-25
Behavior Time:,11:10 AM
Ethogram:,2021 bass.csv
Coding Began:,05/25/2021 11:12:01 AM
Coding Ended:,05/25/2021 11:17:03 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rh2562,Single,a275c11,2021-5-25,1.0.46.0,Inactive,11:12:01,00:03:16.5428624,00:03:16.5428624
ta,rh2562,Single,a275c11,2021-5-25,1.0.46.0,Yawn,11:15:18,00:00:01.1290877,00:03:17.6719501
ta,rh2562,Single,a275c11,2021-5-25,1.0.46.0,Inactive,11:15:19,00:01:30.3920575,00:04:48.0640076
ta,rh2562,Single,a275c11,2021-5-25,1.0.46.0,Yawn,11:16:49,00:00:01.5000274,00:04:49.5640350
ta,rh2562,Single,a275c11,2021-5-25,1.0.46.0,Inactive,11:16:51,00:00:11.3447344,00:05:00.9087694

BehavCode, Occurrences, totalTime
Inactive,3,00:04:58.2796543
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,2,00:00:02.6291151
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
