Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,rh2738
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,c420c5
Behavior Date:,2021-5-18
Behavior Time:,11:17 AM
Ethogram:,2021 bass.csv
Coding Began:,05/18/2021 11:17:48 AM
Coding Ended:,05/18/2021 11:22:58 AM
Session duration:,00:05:09
App Version:,1.0.46.0
Notes:,with infant

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Cling,11:17:48,00:00:02.6799224,00:00:02.6799224
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Threat/display,11:17:51,00:00:05.6534520,00:00:08.3333744
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Locomotion,11:17:57,00:00:17.7334985,00:00:26.0668729
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Threat/display,11:18:14,00:00:03.7640594,00:00:29.8309323
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Cling,11:18:18,00:03:25.2471011,00:03:55.0780334
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Locomotion,11:21:43,00:00:04.1194633,00:03:59.1974967
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Vocal,11:21:48,00:00:01.5466454,00:04:00.7441421
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Threat/display,11:21:49,00:00:02.5467563,00:04:03.2908984
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Lipsmack,11:21:52,00:00:05.0277583,00:04:08.3186567
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Vocal,11:21:57,00:00:05.7613359,00:04:14.0799926
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Locomotion,11:22:02,00:00:01.6264701,00:04:15.7064627
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Threat/display,11:22:04,00:00:02.2397486,00:04:17.9462113
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Locomotion,11:22:06,00:00:03.3997530,00:04:21.3459643
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Threat/display,11:22:10,00:00:04.2927778,00:04:25.6387421
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Locomotion,11:22:14,00:00:08.6397292,00:04:34.2784713
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Inactive,11:22:23,00:00:03.8661825,00:04:38.1446538
mr,rh2738,Pair,c420c5,2021-5-18,1.0.46.0,Cling,11:22:27,00:00:22.9703656,00:05:01.1150194

BehavCode, Occurrences, totalTime
Inactive,1,00:00:03.8661825
Threat/display,5,00:00:18.4967941
Sex/self/other,0,00:00:00
Locomotion,5,00:00:35.5189141
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,1,00:00:05.0277583
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,2,00:00:07.3079813
Cling,3,00:03:50.8973891
Selfbite,0,00:00:00
Other,0,00:00:00
