Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,rh2924
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,mr1527c31
Behavior Date:,2021-5-21
Behavior Time:,09:38 AM
Ethogram:,2021 bass.csv
Coding Began:,05/21/2021 09:38:33 AM
Coding Ended:,05/21/2021 09:43:36 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rh2924,Pair,mr1527c31,2021-5-21,1.0.46.0,SocGroom,09:38:33,00:00:54.1343508,00:00:54.1343508
ta,rh2924,Pair,mr1527c31,2021-5-21,1.0.46.0,Inactive,09:39:27,00:00:33.2187430,00:01:27.3530938
ta,rh2924,Pair,mr1527c31,2021-5-21,1.0.46.0,Locomotion,09:40:01,00:00:02.1100343,00:01:29.4631281
ta,rh2924,Pair,mr1527c31,2021-5-21,1.0.46.0,Vocal,09:40:03,00:00:01.4296004,00:01:30.8927285
ta,rh2924,Pair,mr1527c31,2021-5-21,1.0.46.0,Inactive,09:40:04,00:00:05.1261805,00:01:36.0189090
ta,rh2924,Pair,mr1527c31,2021-5-21,1.0.46.0,Tactile/explore,09:40:09,00:01:09.0311569,00:02:45.0500659
ta,rh2924,Pair,mr1527c31,2021-5-21,1.0.46.0,Social/play,09:41:18,00:00:03.7653681,00:02:48.8154340
ta,rh2924,Pair,mr1527c31,2021-5-21,1.0.46.0,Tactile/explore,09:41:22,00:02:12.0605658,00:05:00.8759998

BehavCode, Occurrences, totalTime
Inactive,2,00:00:38.3449235
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:02.1100343
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,2,00:03:21.0917227
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:00:54.1343508
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:00:03.7653681
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:01.4296004
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
