Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,rhbn58
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Group
Room/Cage:,mr1535c13
Behavior Date:,2021-5-21
Behavior Time:,12:17 PM
Ethogram:,2021 bass.csv
Coding Began:,05/21/2021 12:17:49 PM
Coding Ended:,05/21/2021 12:22:51 PM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Locomotion,12:17:49,00:00:03.4458682,00:00:03.4458682
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Inactive,12:17:52,00:00:07.3931996,00:00:10.8390678
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Vocal,12:18:00,00:00:02.5724022,00:00:13.4114700
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Inactive,12:18:02,00:00:11.5798328,00:00:24.9913028
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Locomotion,12:18:14,00:00:03.3600751,00:00:28.3513779
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Vocal,12:18:17,00:00:00.7368730,00:00:29.0882509
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Locomotion,12:18:18,00:00:14.4335066,00:00:43.5217575
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Inactive,12:18:32,00:00:08.0884037,00:00:51.6101612
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Tactile/explore,12:18:40,00:00:02.6666281,00:00:54.2767893
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Locomotion,12:18:43,00:00:06.4004787,00:01:00.6772680
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Threat/display,12:18:49,00:00:02.3147566,00:01:02.9920246
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Inactive,12:18:52,00:00:10.1283894,00:01:13.1204140
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Tactile/explore,12:19:02,00:00:03.4326184,00:01:16.5530324
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Vocal,12:19:05,00:00:01.5776411,00:01:18.1306735
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Locomotion,12:19:07,00:00:07.3337482,00:01:25.4644217
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Social/play,12:19:14,00:00:13.0980872,00:01:38.5625089
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Scratch,12:19:27,00:00:01.4916325,00:01:40.0541414
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Social/play,12:19:29,00:00:05.0616438,00:01:45.1157852
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Locomotion,12:19:34,00:00:05.5992909,00:01:50.7150761
ta,rhbn58,Group,mr1535c13,2021-5-21,1.0.46.0,Groom,12:19:39,00:00:08.1328595,00:01:58.8479356
