Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,r15072
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,c436c11
Behavior Date:,2021-5-25
Behavior Time:,11:12 AM
Ethogram:,2021 bass.csv
Coding Began:,05/25/2021 11:14:36 AM
Coding Ended:,05/25/2021 11:19:41 AM
Session duration:,00:05:04
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Locomotion,11:14:36,00:00:07.3051324,00:00:07.3051324
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Pacing,11:14:43,00:00:17.7443782,00:00:25.0495106
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:15:01,00:00:02.0812377,00:00:27.1307483
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Present,11:15:03,00:00:02.8796300,00:00:30.0103783
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:15:06,00:00:02.7729678,00:00:32.7833461
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Locomotion,11:15:09,00:00:03.8661740,00:00:36.6495201
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Pacing,11:15:13,00:00:16.5713075,00:00:53.2208276
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:15:29,00:00:22.3172209,00:01:15.5380485
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Locomotion,11:15:52,00:00:13.2126708,00:01:28.7507193
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:16:05,00:00:13.2516310,00:01:42.0023503
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Scratch,11:16:18,00:00:03.2148014,00:01:45.2171517
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:16:21,00:00:31.8233218,00:02:17.0404735
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Locomotion,11:16:53,00:00:07.6124138,00:02:24.6528873
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:17:01,00:00:06.5327392,00:02:31.1856265
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Scratch,11:17:07,00:00:04.5066725,00:02:35.6922990
mr,r15072,Pair,c436c11,2021-5-25,1.0.46.0,Tactile/explore,11:17:12,00:02:25.5613744,00:05:01.2536734

BehavCode, Occurrences, totalTime
Inactive,6,00:01:18.7791184
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,4,00:00:31.9963910
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,2,00:00:34.3156857
Present,1,00:00:02.8796300
Tactile/explore,1,00:02:25.5613744
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:07.7214739
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
